index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
33553,406-1893448-0805943,04-10-22,Shipped,Amazon,Amazon.in,Expedited,JNE3797,JNE3797-KR-XXXL,Western Dress,3XL,B09SDY4VDC,Shipped,1,INR,725.0,NEW DELHI,DELHI,110014.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
9427,171-9111954-5793164,04-24-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW014,NW014-ST-SR-M,Set,M,B0928S4YCB,Shipped,1,INR,560.0,GURUGRAM,HARYANA,122018.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
199,171-4496851-5319548,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3687,JNE3687-TU-M,Top,M,B0986XRZ8X,Shipped,1,INR,545.0,BENGALURU,KARNATAKA,560085.0,IN,,False,,
12447,402-9811148-9865940,04-23-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET339,SET339-KR-NP-XS,Set,XS,B09RSVKMH5,Shipped,1,INR,654.0,YAMUNANAGAR,HARYANA,135001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant SS-1640596961008,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
39489,402-3246945-1426737,04-07-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,Shipped,1,INR,399.0,RANCHI,JHARKHAND,834009.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
42724,406-4452174-8729162,04-04-22,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-M,Set,M,B08XNJG8B1,Shipped,1,INR,969.0,NEW DELHI,DELHI,110075.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
10822,404-0634652-3925926,04-24-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0007,J0007-SKD-S,Set,S,B0894XR7QJ,Shipped,1,INR,1065.0,VARANASI,UTTAR PRADESH,221002.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
49498,405-2717118-8887565,05-31-22,Shipped,Amazon,Amazon.in,Expedited,SET408,SET408-KR-NP-XL,Set,XL,B09RKDJX6S,Shipped,1,INR,499.0,HYDERABAD,TELANGANA,500044.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,False
4144,403-0650407-0973906,04-28-22,Shipped,Amazon,Amazon.in,Expedited,JNE3691,JNE3691-TU-XS,Top,XS,B098717ZBD,Shipped,1,INR,665.0,HAZARIBAGH,JHARKHAND,825301.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
36958,404-4721831-0825949,04-08-22,Shipped,Amazon,Amazon.in,Expedited,JNE3833,JNE3833-KR-M,kurta,M,B09PDPD1GM,Shipped,1,INR,521.0,MUMBAI,MAHARASHTRA,400078.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
