index,Sku,Style Id,Catalog,Category,Weight,TP 1,TP 2,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
893,Os156_L,Os156,Mix,Kurta,0.3,395,319.95,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
115,Os222_3156_M,Os222_3156,Breeze-4,Kurta,0.3,505,409.05,2038,2195,2195,2195,2195,2195,2195,2195,2195,2195
526,Os150_XL,Os150,Mix,Kurta,0.3,395,319.95,1695,1695,1695,1895,1895,1695,1695,1695,1695,1695
175,Os188_5042_M,Os188_5042,Colors-7,Kurta,0.3,381,308.61,1538,1595,1595,1595,1595,1595,1595,1595,1595,1595
63,Os195_5055_XL,Os195_5055,Colors-8,Kurta,0.3,438,354.78,1778,1895,1895,1895,1895,1895,1895,1895,1895,1895
1134,Os279_S,Os279,Mix,Kurta Set,0.4,625,506.25,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1091,Os277KR_3XL,Os277KR,Mix,Kurta,0.3,440,356.40,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
788,Os1064_2XL,Os1064,Surmaya,Kurta Set,0.4,695,562.95,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
286,Os185_1105_2XL,Os185_1105,Mix,Kurta,0.3,529,428.49,2138,2295,2295,2295,2295,2295,2295,2295,2295,2295
339,Os204_3091_XL,Os204_3091,Mix,Kurta,0.3,529,428.49,2138,2395,2395,2395,2395,2395,2395,2395,2395,2395
1088,Os277KR_L,Os277KR,Mix,Kurta,0.3,440,356.40,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
462,Os187_5073_S,Os187_5073,Mix,Kurta,0.3,424,343.44,1695,1695,1695,1695,1695,1695,1795,1695,1695,1695
553,Os157_S,Os157,Mix,Kurta,0.3,425,344.25,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
