index,SKU Code,Design No.,Stock,Category,Size,Color
764,J0026-KR-XXL,J0026,1.0,KURTA,XXL,Turquoise Green
1631,J0175-KR-S,J0175,32.0,KURTA,S,Maroon
6338,JNE3843-KR-XL,JNE3843,10.0,KURTA,XL,Green
447,BTM044-PP-XXXL,BTM044,5.0,PALAZZO,XXXL,Maroon
1832,J0207-DR-M,J0207,20.0,DRESS,M,Olive
2301,J0298-DR-XXXL,J0298,2.0,KURTA,XXXL,Multicolor
5402,JNE3684-TU-S,JNE3684,5.0,TUNIC,S,Red
8431,SET295-KR-NP-XXL,SET295,2.0,KURTA SET,XXL,Black
1770,J0196-TP-S,J0196,5.0,TOP,S,Green
8804,SET355-KR-PP-XL,SET355,3.0,SET,XL,Light Green
1156,J0103-SKD-S,J0103,50.0,KURTA SET,S,Yellow
245,BL107-XL,BL107,3.0,BLOUSE,XL,White
7389,SET004-KR-SP-L,SET004,2.0,KURTA SET,L,Grey
1318,J0129-SET-XL,J0129,1.0,KURTA SET,XL,Pink
5764,JNE3749-KR-M,JNE3749,2.0,KURTA,M,Blue
4503,JNE3510-KR-S,JNE3510,2.0,KURTA,S,Grey
131,BL085-S,BL085,12.0,BLOUSE,S,Orange
3443,JNE2170-KR-436-XXXL,JNE2170,3.0,KURTA,XXXL,Black
7046,NW020-ST-SR-S,NW020,3.0,NIGHT WEAR,S,Peach
7234,PJNE3568-KR-6XL,PJNE3568,4.0,KURTA,6XL,Yellow
1897,J0216-BL-XXL,J0216,17.0,BLOUSE,XXL,Green
7017,NW013-ST-SR-M,NW013,12.0,NIGHT WEAR,M,Turquoise
7205,PJNE3399-KR-4XL,PJNE3399,12.0,KURTA,4XL,Turquoise Blue
7391,SET004-KR-SP-S,SET004,19.0,KURTA SET,S,Grey
1188,J0108-SKD-XXXL,J0108,4.0,KURTA SET,XXXL,Light Green
1224,J0114-TP-L,J0114,1.0,TOP,L,Pink
6240,JNE3826-KR-S,JNE3826,22.0,KURTA,S,Black
3033,JAN8618-DR-XXL,JAN8618,1.0,DRESS,XXL,Blue
6192,JNE3818-KR-XL,JNE3818,3.0,KURTA,XL,Orange
879,J0046-TP-XXXL,J0046,1.0,TOP,XXXL,Grey
4429,JNE3487-KR-XXL,JNE3487,13.0,KURTA,XXL,Peach
286,BTM003-XS,BTM003,40.0,PANT,XS,Maroon
