ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
108,F,Ship,4,5,216,3,high,M,26,2053,1
5595,A,Road,3,1,220,3,low,F,6,5572,1
6998,F,Flight,3,2,215,4,low,F,3,4042,0
3985,D,Flight,5,1,160,5,low,F,1,4672,0
3112,B,Ship,5,4,229,2,medium,F,44,2419,1
4041,A,Ship,3,2,228,3,medium,F,4,4208,0
3014,F,Flight,5,4,182,3,medium,F,11,3545,1
6607,D,Ship,4,4,138,3,medium,F,7,1597,1
4220,F,Ship,5,4,264,3,medium,M,2,5716,0
8750,F,Road,4,2,133,3,medium,F,5,5950,0
5665,D,Ship,4,5,216,4,medium,F,1,4458,1
5370,F,Ship,4,2,197,3,low,F,6,5826,0
7496,F,Ship,4,1,239,5,low,F,8,1048,0
9886,B,Ship,5,1,275,5,low,M,6,1156,1
1852,B,Ship,3,1,169,10,medium,F,15,1107,1
1124,F,Ship,3,5,240,3,medium,F,54,2919,1
3044,F,Ship,3,2,274,3,medium,F,50,3958,1
3370,B,Ship,3,3,249,5,medium,F,9,1752,0
6829,D,Road,5,4,244,6,low,F,10,1978,1
10969,D,Flight,4,4,257,5,medium,F,4,1668,0
3089,C,Ship,4,2,218,2,high,M,1,2990,1
9600,F,Flight,4,1,149,3,low,M,2,4499,0
9535,D,Ship,3,1,131,6,medium,M,8,5352,0
9857,C,Road,4,4,185,2,medium,F,1,4729,0
4210,B,Ship,5,4,252,3,medium,M,6,5221,0
10937,C,Road,5,3,257,5,medium,M,8,1981,1
7280,F,Ship,4,4,209,2,medium,F,3,4407,0
4688,F,Ship,5,5,236,3,high,M,4,5724,1
6877,D,Ship,7,2,279,4,medium,M,5,1210,0
4920,F,Road,2,1,228,2,medium,M,10,4854,1
10958,F,Flight,4,3,229,4,low,F,7,4829,0
8152,B,Ship,4,3,163,3,low,F,10,5002,1
10973,C,Flight,4,1,249,5,low,F,10,1762,1
9345,A,Ship,4,1,253,3,medium,F,9,5502,1
2515,D,Ship,4,4,141,2,low,M,7,1479,1
2909,C,Ship,3,4,154,2,low,M,29,1016,1
5938,B,Ship,3,3,265,3,medium,F,8,5070,0
5015,C,Ship,6,2,254,4,low,M,4,1392,0
5734,B,Road,3,2,170,2,low,M,2,4214,1
8474,F,Road,3,2,257,3,medium,M,2,5486,1
10715,C,Ship,5,4,254,5,low,M,10,1350,0
2603,C,Flight,4,4,220,2,medium,F,33,2897,1
9743,C,Flight,3,3,154,2,low,M,1,5884,1
2827,D,Ship,2,3,172,3,medium,F,11,1522,1
1119,A,Ship,3,2,171,3,medium,M,11,1282,1
3486,F,Ship,4,1,182,2,medium,F,10,5638,0
