marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	15946183	R2BIQJ9YX79IF	B00081MHJI	72093029	Mommy's Helper Tip Resistant Furniture Safety Brackets	Baby	4	0.0	0.0	N	Y	Four Stars	Perfect safety fits all dressers both baby and not baby.  Need power tools to install	2015-08-17
US	28603025	R7UC10GOUQF7D	B006SFUCV8	706135295	Munchkin High Capacity Drying Rack, White	Baby	5	0.0	0.0	N	Y	Five Stars	Works as expected and not too flimsy.	2015-08-27
US	44140748	R2F6SHLL8X9JRX	B0083SUKTC	469095237	Summer Infant Carter's Rogan Changing Table, Chocolate (Discontinued by Manufacturer)	Baby	5	0.0	0.0	N	Y	Five Stars	Very good product. Easy to assemble.	2015-08-31
US	25842070	R2V24TBKRXS3HV	B00SEHDDMI	631065576	KINGSO 20 LED Battery Operated Rose Flower String Lights Wedding Garden Christmas Decor (Warm White)	Baby	5	2.0	3.0	N	Y	Awesome	Ok so when I opened the amazon box, there was this sort of flimsy bag marked &#34;Christmas decoration&#34; that could hve come from a dollar store shelf, so at first I wasn't going to open it because I think I was mentally put off by the packaging. But I was really impressed with how real the flowers look! They are stark white so don't get me wrong they are obviously not real but they are so beautifully molded and are made of some soft dense foam like material. When you turn the light on, they are so beautiful. I may put these in my wedding bouquet even though I bought them just to use them in my house or garden.	2015-08-26
US	49386317	RN1G4YVZDR9ZP	B002ONUZMY	753041198	Tiny Love Gymini Activity Gym, Sunny Day	Baby	2	1.0	2.0	N	Y	Ahhh....ok	Ok product. The musical box falls out of the fabric holder all the time. Seeing as it isn't safe for my babe, I try to keep it away from his reach. I wish I'd invested in a more typical named one.	2015-08-14
US	27938916	RXT5HRW54ZTN8	B00AV53YXY	18824682	Pura Kiki Stainless Infant Bottle Stainless Steel with Natural Vent Nipple, 11 Ounce, 3 Months+	Baby	4	0.0	0.0	N	Y	Works well, but not used as a bottle	This stainless steel bottle works well for the purpose I purchased it for - using it as a vessel for heating liquids. The stainless steel transfers the heat well, and it can be easily cleaned in the dishwasher (top rack). The instructions do mention that the color on the outside may be damaged if the bottle is near enough to touch things in the dishwasher. If you care about that, you should probably order one that's not colored.	2015-08-13
US	2808945	R1WKZDFN30DXPF	B002WDEIVA	83955090	Boppy Water Resistant Protective Cover	Baby	4	0.0	0.0	N	Y	Good for your moneys worth	I'll start right now by saying this is NOT water proof. However, it is water RESISTANT so that is helpful enough. When my baby spits up, I can usually get it off fast enough to where the pillow does not get wet, just the little wet on the cover itself. I'd be more satisfied if it was waterproof, but for this price, I defiantly think it's worth it. Those few minutes you save not scrambling to clean the pillow really add up, and with my babies growing so fast, every second is precious.	2015-08-26
US	160538	R2JKD2PU95BRZ3	B00171WXII	250517482	FridaBaby NoseFrida The SnotSucker Nasal Aspirator	Baby	5	0.0	0.0	N	Y	Five Stars	good	2015-08-10
US	6085754	R2KEZ6APS6MUSO	B00S0MVB9E	718751777	Drill-Free Baby Magnetic Cabinet Locks: 8 Locks + 2 Keys | 5 Minute Installation	Baby	5	0.0	0.0	N	Y	Can't go wrong with these	These are really great for keeping my lil man out of cabinets he shouldn't be in. I was able to install them in just a couple min for each one and was able to do so just by looking at them I didnt have to watch a video or anything. I love that they're applied with double sided tape so there's no damage to the cabinets in my rental house.  It also has the ability to flip a switch and the magnet isn't needed.	2015-08-30
US	10851480	R3FC1BDI75X34Q	B000COY136	993671244	green sprouts Stay-dry Infant Bibs	Baby	5	0.0	0.0	N	Y	Five Stars	These are perfect on our almost 4 month old for everyday with the Babysitter	2015-08-15
