marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	47084807	R19LOG89GK6SKB	B00NIN3GIE	105748676	Black Friday 22 Pcs Photo Booth Props on a Stick Wedding Cosplay Halloween Christmas Party Fun Party Favor	Camera	4	1	1	N	Y	Everyone loved them!	Used these for a DIY Photobooth we put together for our wedding. Everyone loved them! Really easy to put together, but I recommend using a glue gun versus the glue tabs that it comes with.	2015-08-12
US	37432062	R3JNBYRRHSACV0	B00RW8X7T4	459773431	Nikon COOLPIX P600 16.1 MP Wi-Fi CMOS Digital Camera with 60x Zoom NIKKOR Lens and Full HD 1080p Video (Black)	Camera	5	0	0	N	Y	Love the camera and all the accessories that came with ...	Did not come with a book manual on how to use the camera.  My brother had the same camera so he was able to show me the basics but can find the user manual online.  Love the camera and all the accessories that came with it.	2015-08-26
US	17488376	R15AFDGOWIIUVU	B00I9M4HBO	826842790	Foscam FI9821P Plug & Play 1.0 Megapixel 1280 x 720 Wireless/Wired Pan/tilt IP Camera with IR-Cut	Camera	3	0	1	N	Y	Must have for baby monitor if u wanna save some cash, but have a great quality camera!	We are using this as a baby monitor. We first got the older version of this because it was $20 cheaper. It took 2 hours to figure out how to hook it up to the wifi. Then, when we tried to download the app on our phones, it said it didn't work with the older model. We returned it for this plug and play. You literally just scan the QR Code and within 5 minutes the whole thing is set up and works with the app. Image is fantastic and night vision looks great too. Tons of features that we probably won't even use, but good to have. Also has a mic and speaker so you can hear your baby and talk to them. You can set the volume in the app so that the alarm is more or less sensitive to sound. Highly recommend, especially for under $80!  Update: Feb 2017: Camera has had a lot of glitches over the 1.5yrs we've had it, including disconnecting from the wifi on a regular basis. It freezes when watching on your phone, so you have to close out and go back in. Now, after 1.5yrs, it has completely stopped working.	2015-08-31
US	38883794	R6WF1S0TNE80D	B00AWKJPPY	840491020	Instax Parent	Camera	5	0	0	N	N	Worth it!!!	i dont yet have one of these but i am asking for one for my birthday... three of my close friends have them and i love the pictures! They turn out really clear and vintage-like, they are so cool! It is aso really nice to have the pictures print out right away, it usually takes a few minutes to totally show up.  The frames even come in cute colors and patterns, but i prefer white because it gives it a more sophisticated look.  Unless you are a big fan of pink, I wouldnt recommend buying this camera in that color... it looks different than it does online and gets dirty fast.  also be careful not to expose new, unused film to light, because it will ruin the film and when you try to take pictures with it it wont show up.  Overall this product is durable, inexpensive, fun, and definitely worth it!	2015-08-24
US	40578925	R2L2U5L3L1GP1C	B00KJJJB3O	450476626	Ivory Lace Camera Neck Strap for Film SLR Dslr Rf Digital Canon Best Mod Pretty Vintage Straps	Camera	5	2	2	N	Y	pretty and functional	Soft and girlie, loved this neck strap for our honeymoon in Ireland.  Much better than that Nikon strap!  Held my Nikon 3200 perfectly in place for the entire trip.	2015-08-09
US	45004886	R30E1SV631T8TN	B0092ZUJMI	662480389	Nikon EN-EL14 EN-EL14A Battery for Nikon D3100, D3200, D3300, D3400, D5100, D5200, D5300, D5500, DF, Coolpix P7000, P7100, P7700, P7800 DSLR Cameras	Camera	5	0	0	N	Y	Handy little things!!	I am a photographer and these come in handy.	2015-08-07
US	51949299	R3DXOWZ204M3I	B01042Q7GE	917931561	Microfiber Cleaning Cloths (15 Pack) - QKOO Cleaning Cloths - for Canon Nikon Sony Pentax Camera Lenses, Camera Screens, Digital DSLR Cameras, Digital SLRs, Glasses, Surface Tablet, PSP Screen, Monitor, Smartphones, Screens, Cell Phones, Tablets, LCD TV and Laptop Screens, Car GPS Screens, Watches and Any Other Delicate Surface (8 Black, 7 Grey ; 7 x 8 inches (18cm x 20cm)) QK15	Camera	5	1	1	N	N	Perfection, thy name is QKOO. These are absolutely amazing.	You know, you should probably just buy these and then finish reading the reviews, on the off chance that you're near the deadline for shipping. Why? Because you want these ASAP.<br /><br />Here's why:<br /><br />(1) They're a perfect size for most uses - big enough for glasses, screens, phone displays, watches... anything. Not too big, not too small. Awesome all around size.<br /><br />(2) They work *beautifully*. Obviously, that's the most important requirement, and these deliver in spades. They clean well, they wash up nicely for reuse, and they work use after use after use eve when not washed in between.<br /><br />(3) They are individually packaged. This is fantastic - buy a bunch, toss some into glove boxes, suitcases, briefcases, purses, backpacks... you'll have a fresh, clean, unused microfiber cloth when you need it, and the price per cloth is crazy low, so there's no issue with getting extras.<br /><br />(4) They are thin enough to keep one in all your laptops - keep one on the keys, and it's always there to clean your screen. You can buy sizes that are better for this purpose, but these do the trick and are very inexpensive.<br /><br />Get whatever color(s) you like. You will not regret this purchase, and odds are good that you'll buy them again. Especially if, like me, you're a nice guy (or gal) and give them to friends in need.<br /><br />Note: I bought a [[ASIN:B01042PWTC different package of these same cloths]], but the review applies these, as they're the same microfiber cloths.	2015-08-25
US	19072391	R20G448ENYH9PO	B00KLLN26C	434608087	ClearMax Battery (2-Pack) for GoPro HERO3, HERO3+ and GoPro AHDBT-201, AHDBT-301, AHDBT-302	Camera	5	0	0	N	Y	Five Stars	Small set fits easily in any bag. Battery performance is no different.  Excellent GoPro kit addition.	2015-08-04
US	15618339	RWL87CULZUU7Q	B00UBSL2TO	371372936	Datacolor S5X100 Spyder5EXPRESS	Camera	5	0	0	N	Y	Great product. Very clean and professional packaging	Great product.  Very clean and professional packaging.  I used 3rd party software to configure my monitor instead of the included one, but works amazing.  Would recommend to others.	2015-08-29
US	6014640	R1AO05LKMERMOT	B00VHHJLU0	444023297	Ourmes Waterproof Housing Case, Soft Rubber Silicone Protective Housing Case Silicone Cover Protector Skin for Gopro Hero4 Hero3+ cameras Hero 4 / Hero 3+ (Black)	Camera	5	0	0	N	Y	Five Stars	great price and good product. it gives extra protection.	2015-08-11
US	39395343	R2IW8A9CLUV5P9	B003D3NFBC	954059070	MyStudio MSJ1 12-Piece Jewelry Photography Accessories Tool kit for Jewelry Product Photography	Camera	5	1	1	N	Y	I recommend it to every photographer kicking in jewelry shooting	Very practical and valuable, I recommend it to every photographer kicking in jewelry shooting industry	2015-08-07
US	26515601	R30O0H831RXNQ1	B00FSB7432	293946606	Sony LA-EA4 A-Mount to E-Mount FF Lens Adapter with TMT	Camera	4	2	2	N	Y	Slow but does its job...	So far the idem is in working, but it's very slow on my Sony a6000. When I use to have my Sony a65 my lens were decently fast but on my Sony a6000 the speed slowed down. Image quality is okay but in the end the e-mount lens does better.<br /><br />For those that are switching to full frame and have alpha lens like I then this product will do its job.	2015-08-10
US	33515635	R22NGKE88WM2YF	B00JB0NYW6	443970639	Toughsty&trade; Motorcycle Bike Quick Release Handlebar Mount Clamp with Tripod Adapter for GoPro HD Hero 4 3+ 3 2 1	Camera	2	0	0	N	Y	Good grip on the bar. High vibration mount makes this unusable on a bike.	The wide-mouth clamp is great. It fits on the top-tube of the trail-a-bike when nothing else will. But there is a LOT of play in the actual head which allows the GoPro to vibrate like a kernel of corn just before it pops. It seems like this is part of the design, so maybe if it's mounted on a Gold-Wing the play doesn't cause problems. I can only imagine the shaking a Harley would create	2015-08-28
US	2019000	R3RXBSA23H55ON	B00AAIPT76	257674371	Wasabi Power Battery (2-Pack) and Charger for GoPro HERO3+, HERO3 and GoPro AHDBT-201, AHDBT-301, AHDBT-302	Camera	5	0	0	N	Y	Five Stars	Good	2015-08-31
US	16951509	R3JVY3G4T68JN1	B0032MS1B8	513458877	JJC IRD89 Infrared Remote Control for Canon Legria/Vixia Camcorders, 100% Replaces CANON WL-D89 (Black)	Camera	5	1	1	N	Y	Remote Control	Works Perfect	2015-08-21
US	1761566	R31TDV8U8YYS1R	B00K9SYPAE	319026142	Wingspan Optics Explorer High Powered 12X50 Monocular. Bright and Clear. Single Hand Focus. Waterproof. For Bird Watching, or Wildlife. Tripod For Steady Viewing. Daytime Use. Formerly Polaris Optics	Camera	4	6	7	N	Y	bird watching	this is a slightly larger model than i expected. it can be hand held but the bipod makes its more reliable as far as a steady picture goes. as it says in the instruction book the image will tend to jump if you are holding it and no amount of breath holding will make it stop. it's an excellent tool for target shooting and would be a good bird watching addition to the kitchen table at the camp.	2015-08-15
US	50304462	R1KZXJEN23E6JZ	B002ZIMEMW	908776825	Neewer 110CM 43-Inch 5-in-1 Collapsible Multi-Disc Light Reflector	Camera	5	0	0	N	Y	Works well, good construction, great price	I'm very happy with this reflector set. I considered several different models and shapes, but this one seemed to offer everything I needed. The low price was a very good bonus! The fabric is good quality and the construction seems solid. The zipper is sewn in securely and it zips shut smoothly. I had trouble folding it back into place, but I was able to do it after watching a video on line. It does everything I need it to at a bargain price. I'm happy.	2015-08-23
US	34337618	R3O9GPZ6XY2BOD	B00L43MQSG	936272257	CamKix Telescopic Pole for Gopro Hero 4, Session, Black, Silver, Hero+ LCD, 3+, 3, 2, 1 and Cameras - Adjustable - Remote Straps - Easy Extension – Tripod Mount / Wrist Strap / Lanyard	Camera	5	0	0	N	Y	Five Stars	Excellent!	2015-08-12
US	15408497	R2VQ1W6RSLQB1X	B00O0JHDSE	500474187	Ohuhu [Set of 4] Neoprene Lens Pouch Bag for Sony Canon Nikon Panasonic	Camera	5	0	0	N	Y	If I add more lens, I will buy more of these pouches!!!!	I was extremely please with these lens bags. Thick neoprene fabric yet flexible enough to give when I put them in my camera backpack. Best inexpensive investment for my lens. The assorted sizes are perfect!!!	2015-08-24
US	27013935	RR51GCOSA3TOI	B00T85P56C	22496002	Nikon COOLPIX L840	Camera	3	139	156	N	N	Good camera, awful focus	I loved the quality and zoom of this camera! It would be absolutely perfect, except the focus on this camera is horrible. I am a concert junkie, and love to get as many awesome photos as possible. With the focus being so bad, it was really hard to get awesome pictures..I'm pleased with the photos I got, but it could have been way better.	2015-08-24
US	13600425	R1ZVCZYCJL7E0G	B00CFCTH14	73105973	Panasonic Micro Four Thirds Lens	Camera	4	0	2	N	Y	Great lens	Great lines. The low light performance isn't the best but that's not really what it is for. The zoom range is excellent.	2015-08-28
US	1080298	R1X18XI6JWMTRE	B00K9PPNWG	321897205	WoCase GoPro Head/Wrist/Hand/Glove Mount for GoPro HERO3+ 3 2 1 Cameras (Compatible with frame and housing)	Camera	1	0	0	N	Y	One of the activities I used it for was tubing - horrible decision. My GoPro snapped off and got lost ...	I took this to my trip to the Philippines. One of the activities I used it for was tubing - horrible decision. My GoPro snapped off and got lost in the river! Thank goodness the locals found my GoPro after a couple of days.	2015-08-22
US	11061105	R1Q6EQ3R8SKIC7	B00OBZPIF2	206552634	Versonel VSLNWP502 Nightwatcher Security Motion Track Light, White	Camera	5	3	4	N	Y	Highly recommend	Great addition to the outside play area of the wife's dog business. Keeps the vandals out at night while providing great visibility to the people that have to do the late night potty break. Well constructed. Bright. Easy install.	2015-08-31
US	36410465	R7HFYP4ZW2ORI	B00004ZCI3	561937019	Tiffen Circular Polarizer	Camera	1	2	2	N	Y	taks away sharpness of pictures	makes the picture not sharp	2015-08-23
US	1018977	RPMDKBZZZ6FSF	B00L1RUBCS	887240146	OluKai 'Ohana Sandal - Men's	Camera	5	0	0	N	Y	Five Stars	Amazing sandals very comfortable	2015-08-24
