marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	30615180	R15Z7I2H4JCWE0	B00NG7K2RA	349370473	TurboTax Premier Fed + Efile + State	Digital_Software	1	8	10	N	N	Pay more, get less. How special. Loyal ...	Pay more, get less. How special. Loyal long-time user of TurboTax who will be looking elsewhere. My  beef is the price increase this year for the same version. Last year I paid $59.95 to download the Premiere version from Amazon. This year they want $74.99 for the Premiere version. That is a steep increase for a product that is more limited than before.	2015-01-11
US	47320273	R32CFUXYK8G75T	B00U7LCE6A	106182406	CCleaner Free [Download]	Digital_Software	3	5	7	N	Y	Just okay	I downloaded this to help with all of the junk that ends up on my computer. It took quite a long time to load but don't know if it's the program ormy computer. It helped moderately but my computer still runs slow, again not sure if my computer or the program not doing it's job. I probably would not purchase again.	2015-05-12
US	805184	R1K4M13MZY45CE	B01019BOEA	439266477	Microsoft Windows 10 Pro | Download	Digital_Software	3	0	0	N	N	Windows 10	The OS works well but I expect more awesome features.	2015-08-29
US	15193681	R2VUMW8OXWFRA1	B00M9GTHS4	925385625	Quicken Deluxe Personal Finance & Budgeting Software 2015	Digital_Software	4	0	1	N	Y	Fixed some anoyances	This upgrade from ver. 2013 fixed the issue that an upgrade to ver. 2011 caused which duplicated  all my online accounts.  The  ver. 2013 upgrade left the problem intact.  I worked around by deselecting one of the duplicated accounts to update for the last several years.  Support is somewhat lame on this and other issues I've had.<br /><br />Four stars because it just works.  Ver. 2015 hasn't really provided me with any other benefits that I've noticed so far, but looks like I'm gonna stick with Quicken for a few more years.	2015-04-19
US	14607844	R23AMLXEYOLTF8	B00MEUQOQS	806683072	Intuit QuickBooks Online Simple Start 2015	Digital_Software	5	0	0	N	N	Great product!	QB has a been great tool for my business, keeping all my financial records clean, and easy to organize!	2014-11-26
US	36301505	R2CJH2LKSBXVEE	B00E7X9RUK	109813655	Quicken Deluxe 20	Digital_Software	4	0	0	N	Y	There are things I can't do like I used to	Purchased product because I had to.  New laptop and new operating system wouldn't recognize ancient (2009) Quicken software.  Once past the learning curve of how to do stuff in the new version, it works as expected.  There are things I can't do like I used to, (maybe I haven't stumbled across the feature) and there are things it gives you that you didn't know you could do so it's all just getting used to a slightly different product which is true with about anything you need to replace.	2014-10-16
US	44626736	R3SEQVW03B8ROR	B00M76N6MO	16665562	Intuit Quicken for Mac 2015	Digital_Software	1	3	3	N	Y	Take MAC users seriously,  Quicken	Trash. I regret to say I need to keep my PC to run  an old version. Pure waste of money. I can't do anywhere near the sophisticated reporting or simple Excel output. Really? Maybe they think all MAC users are &#34;artists&#34; and not actual business folk. Be embarrassed, Intuit. Don't think we'll simply be too stupid to not notice the shortcomings you're marketing ad 'just as good' ad the PC version.	2015-05-02
US	50237862	R1SXKE9WVP86RW	B00H9A60O4	608720080	Avast Free Antivirus 2015 [Download]	Digital_Software	5	0	0	N	N	... a number of years now and I am very happy with its performance	I was using this for a number of years now and I am very happy with its performance.  Every pc I repair or upgrade I install the free version and advise all my customers to get the pro version. Great product, keep up the good development work.	2014-07-26
US	39836513	R3S624SNB6EE	B00LU2XOLO	325816739	Kaspersky Internet Security 2015 3 User, 1 Year	Digital_Software	5	0	0	N	Y	Five Stars	There is no better antivirus, smooth and safe, highly recomended	2015-07-11
US	13325509	RZP61CJ6CUZDG	B00E7X8YK4	713752890	Quicken Home & Business 2	Digital_Software	3	0	1	N	Y	Three Stars	Returned it for QB	2014-12-18
US	52571299	RVPNIM4GMYN4U	B00M9GTHS4	925385625	Quicken Deluxe Personal Finance & Budgeting Software 2015	Digital_Software	3	3	4	N	N	No added value or improved user experience for this version of Quicken	So, I rated the software as &#34;It's ok&#34; because it looks exactly the same as my 2014 version. I buy the upgrades hoping there would be a marked improvement in the user interface. It's still the same interface as 10 years ago. I mean seriously, I know the product is a cash cow for the company but you would think they would try to merge their mint.com product and user experience while differentiating the products even though they are complementary. Why is there a quicken cloud sync and it doesn't sync to mint.com?<br />It's one thing to keep the products separate so that consumers aren't confused but it's another thing to have no product strategy that adds value for the consumer. So, what, it will be expensive to overhaul the product? I'm not going to buy another version of quicken ever again until Intuit does something to provide more value and a better user experience.	2014-10-12
US	20170326	RA15T1ETT67IB	B00EV6JPRS	191236297	PaintShop Pro X6 Ultimate	Digital_Software	4	0	0	N	Y	I am sure once I get the methods down pat it will be more fun.	I am still teaching myself to use it; I am sure once I get the methods down pat it will be more fun.	2014-12-03
US	41359200	R2S4N2O2UMTHF6	B00NPVRYZK	79689792	Bitdefender Total Security 2015 - up to 3 PCs, 1 year [Download]	Digital_Software	5	0	0	N	Y	Worth buying	My computer runs great and I have had no problems since installing the software.	2015-06-15
US	38436976	R2NFRKBMI5F3BU	B00E7X9RUK	109813655	Quicken Deluxe 20	Digital_Software	1	0	0	N	N	Support can't fix an issue in QD 2014, why buy QD 2015?	Use QD 2014 for the simplest of simple -- Checking, Savings, and Credit Card with one Bank. QD 2014 has consistently been inconsistent, meaning, it will omit some transactions, delete some transactions that had been cleared after a previous download, and will download duplicate transactions with different category. Q support has not been able to help. Q support wants me to buy Q 2015. If Q cannot fix a simple issue in QD 2014, why do they think that more of my money will buy QD 2015 and expect that it works. I'm prompted to write this today after downloading transactions from within the July 2015 time frame, finding the Q balance not matching the Bank balance, then finding the error in June 2013 to be a deleted transaction.	2015-08-14
US	14978153	R13UXKUIIMEVKM	B00PG8FOSY	801860929	Block Financial H&R Block Tax Software 14 Deluxe + State	Digital_Software	5	0	0	N	Y	Very reliable. Handled new ACA questions and calculations cleanly.	I've been using the H&R Block software for over a decade now and did look at a variety of other tax prep software this year since our needs had changed. I came back to this package because of it's stability, good preparation support and reliability. It handled the new ACA questions just fine with better explainations than I'd seen elsewhere. Overall very happy.	2015-03-20
US	50291248	R3N1SM535TYF3J	B00NPVRYZK	79689792	Bitdefender Total Security 2015 - up to 3 PCs, 1 year [Download]	Digital_Software	1	4	5	N	Y	One Star	Horrible product, very difficult to get installed. Would never buy it again!	2015-02-06
US	17103665	R396XEAR6Z3IKP	B00T9OMWN6	91736671	Corel WinDVD Pro 11 [Download]	Digital_Software	5	0	0	N	Y	Five Stars	for 20 bucks works for blu rays	2015-04-04
US	49423063	R3K2QHGG1364ED	B00NOIAWDK	726788939	ConceptDraw PRO v10 [Download]	Digital_Software	1	3	5	N	Y	bad support, company doesn't adhere to internet rfc's	Buggy, bad support, company doesn't adhere to internet rfc's.	2015-01-06
US	47260394	R1X6G9PLQDQITW	B00M9J3R50	160856180	Painter 2015 (Old Version) [Download]	Digital_Software	5	0	2	N	Y	Five Stars	Love!	2015-04-18
US	41949259	R2SA0617V69L7Q	B00PG8FOSY	801860929	Block Financial H&R Block Tax Software 14 Deluxe + State	Digital_Software	4	0	0	N	Y	The program is easy to understand and I like to print and mail ...	This was the first year I used H&R Block software.  It was simple to download and start using.  The program is easy to understand and I like to print and mail my return which was also easy to do without printing unnecessary documents.  The cost vs Turbo Tax was a much better bargain.	2015-04-21
US	36966620	R28M2S93SQR28L	B00M9GTHS4	925385625	Quicken Deluxe Personal Finance & Budgeting Software 2015	Digital_Software	5	0	0	N	N	Excellent  tool for planning and quickly see your current situation.	Quicken 2015, if kept up to date and with sufficient entry information, gives you an excellent picture of what you are spending your money on and offers clues as to what you should or want to do differently in the future.  Online updates of all accounts allows you to watch for any  blips in balances/charges.  The more accounts, etc, you have, the more advantageous it is to closely follow your money flow with Quicken.	2015-06-16
US	37229230	R1WYYFUB6HOPLZ	B00NG7JVSQ	811978073	TurboTax Deluxe Fed + Efile + State	Digital_Software	5	0	1	N	N	I have been using TurboTax for many years and will ...	I have been using TurboTax for many years and will NEVER do my taxes any other way.  I am sure it has given me the most return I can get.	2015-04-02
US	29629220	R1QO9WY1GZGY8Y	B00S6SNK8W	931693930	TaxACT® 2014 Free Federal Edition [Download]	Digital_Software	2	1	1	N	Y	not recommended	avoid if special circumstances	2015-08-21
US	30669000	R32PWLSZ7R9Y9	B00MHZ71G2	8655796	Norton Security with Back Up	Digital_Software	5	0	0	N	Y	As Advertised	As Advertised	2015-04-05
US	318768	R3NTRO6CHJW9MH	B00OVAGX38	333977962	Street Atlas USA 2015 Plus [Download]	Digital_Software	1	4	5	N	Y	It wouldn't be so bad if the default map was the U	difficult to use, the start up default map is somewhere in Maine, and it did not auto pick up on my GPS device. Not user friendly in any quick way. Don't misspell anything. It wouldn't be so bad if the default map was the U.S.A, so you could just zoom in on a location. too complicated for car nav.	2015-04-13
US	32864338	RUF9TGH0BP76M	B00NMPZ90Q	644882216	Photoshop Elements 13	Digital_Software	5	0	0	N	Y	Photoshop Elements is wonderful to work with	I downloaded the product and setting it up was a breeze! Photoshop Elements is wonderful to work with.	2015-02-18
US	52238354	R2ZJCV527IM91V	B00HNYDTE0	475553886	Final Draft 9	Digital_Software	5	5	5	N	Y	Five Stars	Like I had a choice. Go big or go home.	2014-10-24
US	22216248	R2NIJPIU50WMMI	B00NG7JXH0	129292107	TurboTax Deluxe Fed + Efile + State	Digital_Software	1	2	2	N	Y	They quietly changed the program past contents to force prior ...	They quietly changed the program past contents to force prior users to go to a more costly version - which was very sneaky.  However, when challenged on this through a chat room, they did download the &#34;Premier&#34; version at no additional cost.	2015-02-01
US	33535936	R20T82BRXL5NP1	B00NG7JYYM	652127589	TurboTax Home & Business Fed + E-File + State	Digital_Software	5	0	18	N	Y	Five Stars	great product	2014-12-16
US	52194540	R3UD7AYB64K6TA	B00JPRUDFQ	23010115	WordPerfect Office X7 Home and Student	Digital_Software	5	0	0	N	Y	Good deal Word Perfect.	Works as advertised.  Still used in law offices, still in demand.	2015-01-13
US	14009146	R297TVLG6FPDL8	B00M9GTHS4	925385625	Quicken Deluxe Personal Finance & Budgeting Software 2015	Digital_Software	5	0	1	N	N	This is what people need	In general, people have trouble managing their money.  There are many different accounts, credit cards, bills, investments, etc.  Quicken makes it easy to see what you have, updates accounts automatically, and shows you future projections to ensure you understand what is happening with your money.	2014-12-22
US	50500414	R12PN559GJ1XJ0	B00RBON5CS	267051299	Rename Expert [Download]	Digital_Software	5	3	4	N	Y	I'm glad I purchased this program	This program is extremely useful.  I'm dealing with digital photos on an almost daily basis and this program helps me rename these files so much easier and quicker than I could do just using Windows alone.  I haven't even scratched the surface of all the capabilities this program seems to have, but those features that I have used work flawlessly.  I had never heard of Gillmeister Software before I found this program, but I'm glad I took a chance on them and made this purchase.  I highly recommend this program.	2015-02-28
US	47563663	R1C3KNGN28BYYK	B008XAXAC4	87969525	Apache OpenOffice 3.4.1	Digital_Software	5	0	0	N	Y	I love this word processing program	I love this word processing program.  I got it free and we use it at home for my son's school projects.  I use it for the same projects I used to use Corel WordPerfect in the past.	2015-06-23
US	21158349	R6O7KNRP1IGR7	B00M9GTMQ6	18959494	Intuit Quicken Starter Edition 2015	Digital_Software	5	0	0	N	Y	Quicken Start up 2015	Quicken has been a brand new program for me to learn. For a single person business and tax info it is very good.  It has capabilities for setting up budgets and other way to keep info.  As you explore this program you will find all kinds of things you can do.	2015-07-14
US	11229018	RWA1X17F9L4OU	B00JXQ70DC	722523129	Kaspersky Internet Security 2014	Digital_Software	5	0	0	N	Y	Meh	Be careful you don't recover your computer to before you installed this.  You'll have to use a second install to make it work.	2014-12-04
US	24833142	R3033AJ09KKTPJ	B00NG7K2RA	349370473	TurboTax Premier Fed + Efile + State	Digital_Software	4	0	1	N	Y	Did the job well.	This worked well for me.  I have been using Turbotax since 1995 and have been very successful with it.  This latest version was easy to use, reading in my previous years information and automatically filling forms, as needed.	2015-03-10
