marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	46136032	R5C9A956EKQW0	B00N8MBYA2	229632939	The Wire Season 5	Digital_Video_Download	5	0	0	N	Y	Five Stars	My husband is the one that watches it and he loves it. He've seen the entire show twice.	2015-08-28
US	13947288	R3GUL1UXPQLKOA	B001AMMPQY	114117828	The Signal	Digital_Video_Download	3	1	3	N	Y	Three Stars	So so	2015-08-31
US	20804719	R20GOCL15KUI88	B00KFVWDYA	602318466	Susie's Hope	Digital_Video_Download	5	0	0	N	Y	Five Stars	Loved it.	2015-08-31
US	9099456	R15YT2QCA3E4CC	B00Y2DRNMO	511851306	Chocolate City	Digital_Video_Download	2	0	0	N	Y	Garbage	This movie was striaght garbage. The acting is horrible, storyline is so so. The only reason why it got two stars is because the men were gorgeous.	2015-08-31
US	2602230	R292VPILD10MJ3	B00LHF9760	352279282	The Winning of World War II: Road To Victory	Digital_Video_Download	4	0	0	N	Y	Four Stars	well done, quite watchable.	2015-08-27
US	107489	R371RG3ROWF6VF	B001EYK16Y	919499584	Fiddler on the Roof	Digital_Video_Download	5	0	0	N	Y	Five Stars	My all time favorite	2015-08-27
US	50897252	R1XKDG7NK5CD35	B00R6SYCNA	504546948	Grantchester Season 1	Digital_Video_Download	5	0	0	N	Y	Very good British mystery addition	Very good British mystery addition.  Characters are fresh and realistic.  Have become addicted to it after only the second episode.	2015-08-31
US	15154586	R1FF5UB9LH06XH	B002EVKRUG	597123569	The Answer Man	Digital_Video_Download	3	0	0	N	Y	This is a sweet and funny film	This is a sweet and funny film. I love Lauren Graham and the dynamic between she and Jeff Daniels is enjoyable to watch. As a not-quite-old slow-to-reform curmudgeon, Jeff Daniels does a good part in the role. Not a film that will challenge you intellectually, if that is what you are seeking, but if you just want a pleasant film to watch while you unwind, relax, shake off the day, I recommend it.	2015-08-27
US	32017264	R9ZLWMFX9RTYE	B008Y6OYFY	413927603	Dear Frankie	Digital_Video_Download	5	0	0	N	Y	Five Stars	surprisingly good	2015-08-31
US	25233361	R2AAXA6K161BAJ	B000I9S58M	828618889	Dora the Explorer Season 1	Digital_Video_Download	5	0	0	N	Y	Love It	My 2 years old daughter love to watch Dora on her kindle fire.	2015-08-28
US	50142680	R1S39N6XSUEKV1	B00TZ9KDFE	667617010	Five Days	Digital_Video_Download	5	0	0	N	Y	Intriguing Story	Very intriguing storyline. I enjoyed seeing Downton Abbey actors in this modern setting. Did not understand the title, but was surprised by the. ending. Very entertaining.	2015-08-27
US	17950612	R2FUBZYSJO84NH	B008ZXTBWC	44645351	Dinosaur Train Season 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	Best kid show ever!	2015-08-27
US	24370592	R3BFXENE8O71BL	B00OQOZRJA	524596506	Sons of Anarchy Season 6	Digital_Video_Download	5	0	0	N	Y	Five Stars	More violent - pushed me to the edge - but hung in there.	2015-08-31
US	12933431	RR6SBH1R44TJ5	B0126KVXY8	89191607	Dr. Quinn Medicine Woman Season 2	Digital_Video_Download	5	0	0	N	Y	Just simply classic!	I'm really enjoying the step back in time.  Thank you for making this series available!	2015-08-31
US	15804095	R2LMQJ7CLJJ1MC	B00JXUZJ40	123371334	24 Season 1	Digital_Video_Download	4	0	0	N	Y	Four Stars	Thats some good s***	2015-08-30
US	45626430	R3BSJ57BTEK0PI	B00ZZWU53K	73682138	The Astronaut Wives Club Season 1	Digital_Video_Download	4	0	0	N	Y	Excellent visuals, represents the era and the book well	Excellent visuals, represents the era and the book well. There are a lot of different people, so it can be difficult to track all of them.	2015-08-28
US	15766413	R21L0D6IPUOJDS	B00L4YWAEK	896089739	Rookie Blue Season 5	Digital_Video_Download	5	0	0	N	Y	One of the best Cop shows EVER!!!	They are original and complex many subplots that are handled well. So much energy in all the cast! And you like them!! Not too far out in sex or sad endings. Addictive! It isn't like &#34;Car 54 where are you? Funny sad sometimes and always entertaining I love it<br />.the trouble is I binged on the whole season ...all most.	2015-08-30
US	52823216	R2L1PLKTDXTQW0	B009JW4R9K	347201144	Frisco Tornado	Digital_Video_Download	5	0	0	N	Y	Five Stars	Good!	2015-08-28
US	52443569	R1HQ5WHCP9KF5C	B008Y6WMEY	397860632	Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great picture!	2015-08-31
US	22918079	RN38SEE0VVMPG	B0114892UA	909810641	Homeland Season 4	Digital_Video_Download	5	0	0	N	Y	Even episodes that are mediocre are beautifully executed and wonderfully entertaining	It's embarrassing, but I'm an addict. I can't get enough of Homeland. Even episodes that are mediocre are beautifully executed and wonderfully entertaining.	2015-08-31
US	34194710	R2GUIFWO5NBF9R	B00FPGSCUY	645091294	The Purge	Digital_Video_Download	1	1	2	N	Y	This was the most frustrating movie I have watched in ...	This was the most frustrating movie I have watched in a long time. I mean, I can't even. I literally can't even.	2015-08-31
US	52024575	R3SPPJBDBFNA2R	B00NFDFCOI	993744762	Words and Pictures	Digital_Video_Download	4	0	0	N	Y	Great movie	Loved this movie! Has lots to say about how one views life and its choices.	2015-08-30
US	10228857	R389NRWHSML4ID	B00OI7J214	508286989	If I Stay	Digital_Video_Download	4	0	0	N	Y	Four Stars	good movie	2015-08-31
US	26557495	RE7CYBCXVYFBW	B004KPX56C	460878142	Bubble Guppies Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Kids love it!	2015-08-30
US	44805738	R353W7HVX7NFMT	B002HMISBW	512391564	This Is Elvis	Digital_Video_Download	4	0	0	N	Y	Four Stars	met needs	2015-08-31
US	29692408	R21UEPOCMGJV5B	B00JUIZMMY	208747270	Barefoot	Digital_Video_Download	5	0	0	N	Y	Five Stars	Very cute.	2015-08-29
US	26113431	R3KC8D86EOV2RD	B00P7PFO0E	789451579	Hercules (2014)	Digital_Video_Download	5	0	0	N	Y	Five Stars	Excelent	2015-08-27
US	606986	R1I4UZE5ZDQ117	B00CW8DRU8	623814703	The Newsroom: Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great show	2015-08-28
US	20546129	R7C4UWAJHU701	B00ZP9PPMO	956172056	Under The Dome Season 3	Digital_Video_Download	4	0	0	N	Y	Four Stars	Watched all can't wait for new season	2015-08-28
US	45779757	R16IN2V8RAHVPE	B00E6X5U02	902039949	What the Bleep Do We Know!?	Digital_Video_Download	3	1	2	N	Y	Okay, but could be better.	It was slow and there is too much dialogue. They don't expand that much on the science in the video.	2015-08-28
US	1840146	R31SG4675S8RZ9	B003AZCYCE	730000855	Justified Season 1	Digital_Video_Download	5	0	0	N	Y	Excellent show! Another FX original that delivers	Excellent show!  Another FX original that delivers!	2015-08-28
US	14137614	RKW1LQNUHVJ0B	B00I3MPPDY	933409825	Gortimer Gibbon's Life on Normal Street - Season 1	Digital_Video_Download	5	1	1	N	Y	so addicting	Got my 11 year old son and i addicted to it such a cool show	2015-08-29
US	1015130	R2QFBQ9XLJAYM	B00XBUFDK8	676201781	Fifty Shades of Grey	Digital_Video_Download	1	0	0	N	Y	One Star	Disappointed	2015-08-31
US	34357242	R2TETPT4FQW6FO	B00KQ9VCP2	395185737	Gremlins 2: The New Batch	Digital_Video_Download	5	0	0	N	Y	Five Stars	I love this Movie its Better than the first Gremlins.	2015-08-31
US	43991118	R1A8OBIBC9GD4Z	B0112SYHWA	421385979	Fear the Walking Dead, Season 1	Digital_Video_Download	5	0	0	N	Y	I liked it.	Very promising.	2015-08-27
US	22144458	R2GXNXIEDJHRRV	B00X8UKOUK	666093513	Catastrophe - Season 1	Digital_Video_Download	4	0	0	N	Y	Four Stars	It's pretty funny	2015-08-30
US	14778155	R2LU2V8OYQZGIX	B00U2TQKGM	978460336	Road Hard	Digital_Video_Download	2	0	0	N	N	Fun watch. Some obvious jokes	Fun watch.  Some obvious jokes.	2015-08-27
