marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	1549390	R2OWIWPQLOKFQW	B009AYLDSU	564421014	JBL Ultra-Portable Speaker with Built-In Bass Port and Wireless Bluetooth Connectivity	Electronics	1	0	1	N	Y	Piece of junk.	Doesn't work	2015-08-21
US	12092508	RB4NW3OEHET09	B00O7N3PMG	227747201	Sylvania Nostalgic Design Turntable Brown (SRC831)	Electronics	1	3	4	N	Y	Buyer beware! Do not purchase this item or one from this seller!	Terrible product and terrible customer service. I ordered this product and was very excited when it came! I have many 33 vinyls and when I was finally able to hook it up, I played a record. When the record reached close to the end (still with a song or two to go) the record players power shut off! Shut off! I figured it was just the record. I changed out the record and played a different one. Same result - it shut off again. So I tried using a different outlet. Same result. Finally I tried using a power adapter/surge protector. Nope. Still did the exact same thing. I tried to return my item only to be told it was 2 days outside THEIR return window of 30 days. So now I have an unusable record player that I spent $90 on in the hopes of being able to play my vinyls. I will NOT be buying from this seller again and I am now in pursuit of finding a record player that actually works the way it should!	2015-08-28
US	45692767	R3MI6SS697N6NV	B000067VC6	103099342	Memorex CD/DVD Jewel Cases with Clear Tray 10 pack (Discontinued by Manufacturer)	Electronics	5	0	0	N	Y	Five Stars	exactly as promised.	2015-08-31
US	6095786	R2F5QR8TFUCUU5	B00RPWO3W2	468146586	BESTEK 8-Outlet Surge Protector Power Strip with 5.2A 4-Port USB Charging Station, ETL List	Electronics	4	0	0	N	Y	Good product	The layout works for my stuff<br />Is light, easy to clean, and doesn't take too much space<br />The usb ports charge my stuff impressively fast.	2015-08-27
US	38593607	R2NMM66FRJJ49X	B00ISJO0BA	484959025	Samsung WMN450 Mini Wall Mount	Electronics	5	0	0	N	Y	Definitely one of the better choices I have made	Got my 65' 4k HDTV up on my wall with no wires showing.  Wall mount is very sturdy and easy to install.  I trust it completely with my TV.  Would post a pic but too lazy at the moment.  I recommend this item though	2015-08-19
US	12058557	R3H0RMHFM6W8X4	B00068YUN4	737455234	Winegard DS-2000 Universal 22-inch Tower Mount for Off-Air TV Antennas (1.5in Diameter Mount Pipe) - Includes 2 U-Bolts, Fit 1in to 2in Pipe/Towers	Electronics	5	0	0	N	Y	Good mount	I needed a mount that was a bit higher than others, and this was just the ticket.  Works perfectly, and is very stable in the wind.	2015-08-19
US	52407002	R1AXO7ETBVFHUB	B00NBMI560	769595573	Sony MDRAS800 Active Sports Headsets	Electronics	5	0	1	N	Y	Great Product, Great Solution. Almost as Good as my Bose Noise Cancelling Headphones. Bought 3 for Use.	Great Product, Great Solution. Almost as Good as my Bose Noise Cancelling Headphones. Bought 3 for Use.	2015-08-28
US	1316311	R2UFPND4SK3ZYU	B00CBFYZ9O	891248490	Original New VIZIO Smart tv Qwerty dual side keyboard remote control work for M420SL M470SL M550SL M320SL M370SL M420SV E422VL E472VL E552VL M370SR M420SR M470SV M550SV M420SV E551VA VIZIO Internet TV	Electronics	1	0	0	N	Y	One Star	Not working one	2015-08-17
US	15130257	R3INONXATPXVN9	B00IEEXNGC	747941998	iWave Bluetooth Wireless Speaker Water Resistant iBS045 Gray/Aqua	Electronics	1	3	4	N	N	When I first got the horn of death, I ...	When I first got the horn of death, I had to guess what it was altering me to because there were no instructions included with this product. However, it IS a self-explanatory device, so I immediately surmised that it was the low battery signal. This was very confusing to me because my device had never been operated on battery power. It has been plugged in the entire time. I cycled the power off and let out sit overnight, unplugged. The next day I tried to operate it on battery power alone only to get the HOD. So, I cycled the power back off, plugged the device in for several hours and, lo and behold, the ever-present HOD was STILL ever-present.<br /><br />I have since tried various combinations of charging, discharging, rebooting, etc., and on rare occasions my Titan will act as if nothing ever happened... glaring at me from the corner the way second ex wife would when I brought up a one of her indescretions that we had already &#34;worked through.&#34; I'm not saying this Titan speaker is a b!tch, but between the inexplicable energy drain, the incessant complaining about not being fulfilled and increasingly rare moments of pleasurable co-existence, it's kind of making the case for itself. If only my second marriage had been a $40 throwaway...	2015-08-30
US	49258165	R1SMHNDT4DPVH9	B00PSRRDGO	287225083	SanDisk Clip Sport 8GB MP3 Player, Blue With LCD Screen and MicroSDHC Card Slot (Certified Refurbished)	Electronics	1	1	1	N	Y	Did not work for long.	This lasted about 2 weeks and then died. The last one I had lasted me 2 years before I accidentally spilled water on it. This one was not as good.	2015-08-20
US	6655165	R35H2S77AITK78	B00000J1EQ	800979099	Maxell STD-T-120 4 Pack VHS Tapes	Electronics	3	0	0	N	Y	Playing back any shows I recorded using these Maxwell tapes ...	Playing back any shows I recorded using these Maxwell tapes, I get some white line running across the bottom of the screen and this is very  distracting.	2015-08-18
US	2183521	RZFA9NUMCOHYD	B0077V8930	989446095	Onkyo TX-SR313 5.1- Channel Home Theater A/V Receiver (Discontinued by Manufacturer)	Electronics	1	0	1	N	Y	One Star	Arrived with a cracked and non-functioning display	2015-08-20
US	116083	R2PD796URF2G0L	B00C404VC2	891705417	Bluetooth 5.25 Indoor/Outdoor Weatherproof Patio Speakers (Black- pair)	Electronics	2	0	3	N	N	5.2 inch speakers	Maybe I should have opted for the larger version of these because the bass response is terrible. The midrange is OK.	2015-08-30
US	14487471	R3RGEGO5PTDQS8	B00CHR46JA	671134456	Monster iCable Lightning to USB Cable 3.3 Feet (1m) for Apple iPod/iPhone/iPad	Electronics	5	0	0	N	Y	Best Lightning Cord	Hands down the best cord out here.  Don't waste your money elsewhere.	2015-08-31
US	12823423	R2TF3ZPLJHN6GX	B00BQOMZOS	794676291	Pyle Home PSR6 Waterproof Shower Clock Radio	Electronics	2	0	0	N	Y	Two Stars	Sound was poor and clock did not work.  I got a refund.	2015-08-26
US	48700451	RDW73WSYAQKR1	B0002Y2JYO	586331967	Samsung TR85 Samsung TR85 Pedestal DLP Stand (Discontinued by Manufacturer)	Electronics	5	0	0	N	Y	cool	cool	2015-08-23
US	4775404	R2Z3BVO96PXYGO	B00JOTXSAW	52825480	Bud Buttons By SPRK - Magnetic Headphone & Earbud Cord Organizer - Sure Stay Clip Great for Musicians, Runners & Outdoor Fitness	Electronics	4	0	2	N	Y	needs some work but still a necessity for me	These suck to use anywhere except around the neck... Or... The magnet needs more strength... And the rubber  holdingthe. Metal plate  needs to be placed deeper into the plate so it can stay there more...  I bought these before. . they still allow my ear phones to break unless I do a bit of a complex wrap to focus the natural tugging at different parts of the cables. I use this clip with earphones and a Bluetooth audio adapter clip.. ;) so I can talk to my wrists too... And move around all I want.. But sometimes these fail.  Especially with hoodies.. They sometimes weight down my shirt more than I want... So I usually prefer them at the back of my neck. Well that's my $1k  review.. I looked for other clips..  I can see why its 12.99 or whatever..	2015-08-27
US	17888751	R242ID2RO0N05U	B00D66RDYQ	374654117	50ft Rg8x Coax UHF (Pl259) Male/male 50 Ohm Antenna Cable	Electronics	5	0	0	N	Y	Five Stars	Great buy and perfect length. Will buy more when I need to.	2015-08-21
US	48552213	RREX4E505R90P	B00W9MHKTQ	881316992	Jeecoo ED1 Metal Earbuds In-ear Headphones with Microphone for Cell Phone	Electronics	5	0	0	N	Y	Five Stars	These are great! Great sound, very comfortable, nice looking.	2015-08-27
US	28529086	R26LJQOAWQC4G4	B00FA5W0AI	73390064	CSB GP-12120F2 Sealed Lead Acid Battery	Electronics	5	0	1	N	Y	Five Stars	great	2015-08-27
US	39383689	RYD8OD1XL3PRW	B00M1NEUKK	126472652	Bose QuietComfort 25 Headphones (wired, 3.5mm)	Electronics	4	1	1	N	Y	Very good headset but I can't wear them too long	Very good headset but I can't wear them too long ... my hears get very hot and I need to switch to the Bose  Bose QC20 Acoustic Noise Cancelling Headphones  but my kids love it and have no problem with them	2015-08-30
US	21981074	R33VLFY9YJ7ZP1	B004OA733E	326275824	iHome Portable Speaker for MP3 Players	Electronics	4	0	0	N	Y	Good everyday option for poolside music.	Great option for the pool and easy to throw in your pool bag to keep with you! Comes in a great little bag to keep it dry/clean, and has a decent sound. It will vibrate and jiggle across the table depending on the bass in the song so maybe stick it on a towel.	2015-08-26
