marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	14324053	R2PM3UV1D7EAA7	B0012AL2C2	107191896	Winsome Wood Folding 4-Tier Shelf	Furniture	5	0	0	N	Y	A rare gem of a bookcase!	I bought 2 of these for the reading materials that I like to  keep handy in my bedroom where space is limited!  They arrived promptly, packaged perfectly.  I asked my daughter to do the &#34;limited assembly &#34; because I 'm handicapped.  She had both set up and in my bedroom in a matter of minutes. They're beautiful and just perfect for placing a lot of stuff in limited space. & if you decide you want to remove them, they fold up and store flat!  A great item, beautiful quality for the price. I just ordered a third so i can display &#34;collections &#34;,  that i had to wrap & store due to limited space.	2015-08-01
US	270652	R3KNAOQVY43BA3	B00FSE7JZ2	978222951	Whalen Payton 48 in. High Audio Video Tower	Furniture	5	0	0	N	Y	Five Stars	Good stuff. Looks nice.	2015-08-23
US	11446858	R3OH6D2ZKLH9HJ	B009CI5WGS	523855888	NaturalAreaRug Eco Hold Rug Pad Earth Friendly Provides Extra Cushion For All Hard Surfaces Sizes  include 2'x3' , 2’ x 8’, 3’ x 5’, 4’ x 6’, 5’ x 8’,6’ x 9’,8’ x 10’,9’ x 12’ & 12’ x 15’.  Heavier and Thicker than Most Rug Pads	Furniture	5	0	0	N	Y	good price. Had it for about a month	Noticeable cushion, holds well, good price. Had it for about a month. Will buy again.	2015-08-31
US	4452088	R3S6EGGOI3XDO7	B00TI7OBA6	892670142	Loolis Sexy women Open Butt Backless Panties Thongs Lingerie Underwear	Furniture	5	7	7	N	Y	love it!	Soo comfy.  I love them.	2015-08-20
US	51456962	R10SZ22D5J3PWA	B00M16A2JU	342918660	Sleep Master MyEuro Smartbase/Wooden Slats Mattress Foundation	Furniture	5	0	0	N	Y	Good mattress base.	Somewhat challenging to put together, but we managed well enough.  Sturdy and does the job.	2015-07-26
US	17457518	R5BXIDWV37UYT	B008B9FKVQ	628369436	Garden Floral Design Rubber Backed Non-Slip Anti-Slip Area Rug Carpet Runner	Furniture	5	1	1	N	Y	FINE DESIGN	Nice design, solid backing, makes for food gripping surface.	2015-07-23
US	2369993	R1Y7FI94F2XMG5	B00IFHPVEU	865412298	AmazonBasics Chair	Furniture	5	1	1	N	Y	Five Stars	Very comfortable and light weight.  If a 68 rear old lady (me) put it together, most anyone can.	2015-08-21
US	32840312	R3F9RBLZMFS68C	B00PNFYFTE	424001575	Safavieh Nantucket Collection NAN317A Handmade Abstract Geometric Diamond Multicolored Cotton Area Rug (5' x 8')	Furniture	5	4	4	N	Y	Nice in my Contemporary Living Room	It fits great in my contemporary living room. A big plus is the Corgis really like it. I found that it doesn't need a non slip pad under it, but I might add some cushion later. It wasn't expensive and I can replace it if the dogs tear it up over time. So far, it has weathered the abuse well.	2015-07-17
US	51582638	R2T2WD1BDT0NRO	B00LO1Y2N0	707315289	"Home Dynamix Premium Collection Area Rug, 7'8"" by 10'7"", Black"	Furniture	2	0	3	N	Y	You get what you pay for	I guess you really do get what you pay for...<br />no easy way to repackage to return as they arrived shrink wrapped. Full of wrinkles that still will not lay flat. do not try to steam iron, fabric melts even when 3 &#34; away from iron.......... quite thin & have no clue as to what the tiny one would be used for. Terrific design though.	2015-08-28
US	40856693	RGSVPV92QSTMY	B005BE27JW	178538430	"8' X 11' Natural Step 1/4"" Thick Non Slip Rug Pad - Safe for all floors"	Furniture	5	0	0	N	Y	Why spend more?	OMG- cant beat this price, and great quality!	2015-07-28
