marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	52626951	R26F5T6VAOVP8O	B00CT77X3O	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	Too Cute for Words	Delightful, the receipent loved the card.  So precious.	2015-02-03
US	17842659	RVPKN2286JVDS	B005EISPOG	307799435	Amazon Gift Card - Print - Baby Shower	Gift Card	5	0	0	N	Y	Five Stars	👍🏻	2015-06-22
US	33131393	R2QFMB1Q9XENCP	B005DHN5P2	775486538	Amazon.com Gift Card in a Greeting Card (Various Designs)	Gift Card	5	1	1	N	Y	Five Stars	Super convenient to have a card included.	2015-08-30
US	43429647	R2HBGV9IID4QZP	B004LLIKVU	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	It arrived in one day, I don't even have ...	It arrived in one day, I don't even have to purchase a wedding card, very convenient gift for my friend.	2015-06-03
US	39518786	R1BLBX6RR61FTJ	B0091JKYA2	941945933	Amazon.com Gift Card for Any Amount in a Santa Tin (Ho! Ho! Ho! Card Design)	Gift Card	5	0	0	N	Y	perfect gift	perfect gift.  cute tin so they have something to open	2015-01-16
US	48846608	R2Z2KYSTP40T3S	B00Q5BNBC2	592846384	Amazon Gift Card - Print - Happy Birthday (Wiser?)	Gift Card	5	0	0	N	Y	Five Stars	Perfect present	2015-01-04
US	20047915	R25M6L73UGNLUR	B00BWDH54I	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	amazon gift cards are the way to go - recipient ...	amazon gift cards are the way to go - recipient can choose what they need or want because amazon has it all.	2015-06-11
US	40139060	R20C4KPMVTDV5I	B00BWDH368	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	Five Stars	The best present to give... hassle free shopping for me and the recipient.	2014-11-30
US	1133124	R1TQOADI9J2JMK	B004LLIKVU	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	Five Stars	It's good	2015-07-31
US	41775792	R1M242UDG8AIZ1	B00G4IV2VI	538766567	Amazon eGift Card - Merry Christmas (Pine)	Gift Card	4	0	0	N	Y	so you must feel very fortunate that I allowed you a rating as high as ...	Just half the gift card is covered with photo and there were very limited online Christmas theme choices. The prior year UPS claimed a computer glitch that cause non-delivery on the promise date. This year Amazon shut off delivery well before by Christmas eve because of UPS being overwhelmed by deliveries. I was forced to give them a email card both years.  Rather impersonal, so you must feel very fortunate that I allowed you a rating as high as four-star.<br />Sincerely,  Bill Wright	2015-01-24
US	19935666	RICYUC9JL78XL	B007RFEM32	743153911	Amazon.com Gift Card in a White Gift Box (Classic White Card Design)	Gift Card	1	0	1	N	N	Not always a next day delivery!!	I ordered this on Dec 30th thinking it'll arrive in a day's time. Maybe due to new year or otherwise I am not sure, the package came in on the 2nd of Jan instead of 31st Dec. I had to print out a gift card since we needed it on Jan 1st.<br />Moreover the tracking was never properly updated. It kept saying it would arrive on Dec 31st even on Jan 1st. This is also non-returnable which means I better keep track of it and spend it myself. Overall very frustrating experience. I would recommend just printing gift cards or getting one from the grocery store, at least you are guaranteed to have it.	2015-01-03
US	41240203	R1SMLQDQE8FJE4	B00JDQLX1C	426498612	Amazon.com Gift Card in a Greeting Card - Holiday Designs	Gift Card	5	0	0	N	Y	Five Stars	Fast response	2015-01-19
US	5639927	RQMKBCB4W27FG	B005FGQHKQ	379368939	Amazon.com Gift Cards, Pack of 3 (Various Designs)	Gift Card	2	0	0	N	N	Did not work out!	I purchased during the anniversary deal going on. I waited for the $10 promo code for 2 days now, but I have not received any. I am very sad. :(	2015-07-17
US	47941173	R2KP2D2YSV04PF	B004LLIKVU	473048287	Amazon.com eGift Cards	Gift Card	1	0	1	N	N	Could not buy	How do I pay with pay pal?	2015-08-20
US	7274335	R2LI72RO8IYTJ2	B004LLIKVU	473048287	Amazon.com eGift Cards	Gift Card	4	0	0	N	Y	Four Stars	It is very convenient to me.	2015-04-16
US	9549596	R41ZU4WT79ATS	BT00DDVMVQ	20546152	Amazon eGift Card - Smile	Gift Card	5	0	0	N	Y	Five Stars	excelente opciòn	2015-02-19
US	11972392	R3SPMOGBYWUMPA	B00JDQJVF2	255898874	Amazon.com Gift Card in a Birthday Cupcake Tin (Birthday Cupcake Card Design)	Gift Card	5	0	0	N	N	Great last minute gift	Shipping was gas as expected. Great gift	2015-05-11
US	15188933	RG1O7EKYB4UGM	B007RZ6DSO	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	Five Stars	Love this for a gift - it's so easy!  And more personal than a plain gift card.	2015-01-31
US	13272429	R2Q39Z419EVCKJ	B007RFEMEG	743153911	Amazon.com Gift Card in a White Gift Box (Classic White Card Design)	Gift Card	1	0	1	N	N	This order is a duplicate order. I ordered only ...	This order is a duplicate order. I ordered only one gift certificate, but you folks sent me one and also my grandson Sam Flint. Only Sam was supposed to get one. And it is lnot eligible for return.	2015-06-01
US	11266025	R198E92QE3PIYU	B0066AZGD4	136017760	Amazon eGift Card - Upload Your Photo - Gift for You	Gift Card	5	0	0	N	Y	I like the gift card and the upload of photo	I like the gift card and the upload of photo. It is good idea to show someone you care with a Birthday card and it has picture attached, it is fun<br />and awesome.Thanks	2015-06-04
US	3882220	R288OD967YEHQZ	B00CT79116	613376192	Amazon eGift Card - Singing Holiday Sweater (Animated) [American Greetings]	Gift Card	5	0	0	N	Y	Five Stars	Went over well	2015-07-17
US	4331770	R3BKSI4LEESM2D	B00IX1I3G6	926539283	Amazon.com Gift Card Balance Reload	Gift Card	5	0	0	N	Y	Five Stars	Everything goes real smooth and without too much delay.	2015-05-06
US	2173713	RO393JE18C8L	B00JDQMJ0G	775486538	Amazon.com Gift Card in a Greeting Card (Various Designs)	Gift Card	5	0	0	N	Y	great card, quick service	I was more than impressed,  great card, quick service, no S/H.......easy way to get a great gift	2015-08-25
US	15741346	RG671JQKF6D08	B005DHN0L6	775486538	Amazon.com Gift Card in a Greeting Card (Various Designs)	Gift Card	5	0	0	N	N	Can't ever go wrong with an Amazon gift card	Can't ever go wrong with purchasing a Amazon gift card. And then to have a prime membership on top of that is even better. I believe it arrived in one business day.	2015-05-11
US	12405077	RHUEZ2DWP2GXC	B00A48G0D4	848703272	Amazon eGift Card - Happy Birthday (Candles)	Gift Card	4	0	0	N	Y	Four Stars	I like ordering via Internet	2015-05-24
US	19787570	R3R70KTOT6JLU1	B00IX1I3G6	926539283	Amazon.com Gift Card Balance Reload	Gift Card	5	0	0	N	Y	easy to use	Easy convenient worked the first try<br />Feel safe having just gift card on account	2015-03-01
US	46017147	R2QPW2BO2Y5K6Y	B00PMLD91O	344840082	Amazon eGift Card - Have a Sweet Holiday	Gift Card	5	0	0	N	Y	Five Stars	Excelente	2015-01-07
US	36901390	R2EVCWC0LGIPX9	B00IX1I3G6	926539283	Amazon.com Gift Card Balance Reload	Gift Card	5	0	0	N	Y	Five Stars	Very fast.	2015-02-16
US	34770982	R1SK5PAEPGGNEU	B00B2TFSO6	89375983	Amazon eGift Card - Thank You (Note)	Gift Card	4	0	0	N	Y	Four Stars	works	2015-01-23
US	43230408	R1GEHIFCF1CN8T	B00JDQM0LY	426498612	Amazon.com Gift Card in a Greeting Card - Holiday Designs	Gift Card	5	0	0	N	Y	card	Sweet card	2015-02-05
US	26217714	R14TORJFKKCZPZ	B00AF0K82U	938949631	Amazon.com Gift Card - Upload Your Photo (Print) - Gift for You	Gift Card	5	0	0	N	Y	Five Stars	It worked out great. Loved the little printer-ready card. I needed one more last-minute gift and that was perfect.	2015-01-25
US	911368	R29LJ55EGMGH15	B004LLIKVU	473048287	Amazon.com eGift Cards	Gift Card	5	0	0	N	Y	Five Stars	excelente	2015-03-11
US	30706617	R2HAK82IXPCDLI	B00XO1OZTY	979524286	Amazon eGift Card - Happy Father's Day (2015)	Gift Card	5	0	0	N	Y	Five Stars	Excellent	2015-07-22
