marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	16589017	R2JOS96E78PMFA	B002K660HY	92563728	Manitoba Harvest Hemp Pro 50 Protein Supplement, 16 Ounce	Grocery	5	0.0	0.0	N	Y	Five Stars	Good quality product. No bad taste	2015-08-05
US	12396905	R30QDOR273H4R1	B0047726E0	364356436	Green Mountain Coffee Hazelnut Decaf, Keurig K-Cups, 72 Count	Grocery	5	0.0	0.0	N	Y	Will continue to buy this great tasting decaf	I need to only drink decaf and this is a good tasting one.  I actually can't tell the difference between this and the full caf of this brand.  I like my coffee black and fresh and not into the strong blends so this is perfect.	2015-08-04
US	46225147	R2ZOBFBI14F4KI	B00M8JV3Y8	620678146	Yankee Traders Brand, Classic Butter Mint Candy, 2 Lbs	Grocery	1	1.0	3.0	N	Y	disappointing taste	tasted very cheap & low quality	2015-08-24
US	36886253	R7AJQNGQSNG9E	B007VX4L54	558573875	San Pellegrino Sparkling Beverage, 11.15-Ounce Cans (Pack of 24)	Grocery	5	0.0	0.0	N	Y	Five Stars	Delicious.	2015-08-05
US	34839557	REMNL73VY2LCJ	B007M6JK56	689529204	Rachael Ray	Grocery	5	0.0	0.0	N	Y	Five Stars	Love all her products.	2015-07-30
US	37777158	RK0PTRRSDO23D	B0028GWGYW	280207419	Twinings Cold Brew Tea, English Classic, 20 Count Bagged Tea (6 Pack)	Grocery	5	0.0	0.0	N	Y	Five Stars	Love this tea. Refreshing, not bitter.	2015-08-05
US	2094972	RTIW5L1JF3VXK	B001MS5YL4	39313931	Distilled Water, 1gal, 6/Carton, Sold as 1 Carton	Grocery	5	0.0	6.0	N	Y	Five Stars	Stored in our garage.	2015-08-03
US	14921051	R2QAM1FFNX334X	B00W8EH8UG	244309923	V8 V-fusion + Plus Energy Black Cherry, 8 fl. oz. cans (Pack of 24)	Grocery	4	0.0	0.0	N	N	Good stuff, got to try FREE from BZZ AGENT	I reveived a coupon to try for BZZAGENT for FREE for a review. I really like the brand, and I liked the black cherry taste, it was sweet but not too sweet and it wasn't bitter at all. I like how it is healthier than other versions of energy drinks. I don't feel so bad drinking it. Now it does have a little bit of an after taste, as do most energy drinks or drinks of this nature. I put that aside when reviewing this. I liked how they give you a boost while still tasting good and being better for you. I like how it is made by v8 and gives you fruit and veggies while you are getting a boost at the same time. I didn't crash after drinking this like I do when I drink the sugary drinks. It also didn't make me feel bloated like others have in the past. I like the size, you don't have to drink a ton to get your boost. Overall, I really liked it and I like the different benefits it provides. I will be buying again and trying other flavors, it might only be this one that has an aftertaste, I am not sure.	2015-08-04
US	18723835	R2OPVFDNGC4I8G	B0015GPUJY	192007466	Monin Flavored Syrup, Chiptole Pineapple, 33.8-Ounce Plastic Bottles (Pack of 4)	Grocery	5	0.0	0.0	N	Y	Love this stuff.	I really love this stuff.  Sweet with a touch of heat.	2015-08-10
US	12556744	R224AU1GH2AJ30	B00OOT98X8	462529742	Gravy Master Sauce, 128 Ounce	Grocery	5	0.0	0.0	N	Y	Five Stars	Great product arrived earlier then expected	2015-08-14
US	8258414	R1A7NXNND1NH7H	B00PNMFH9Y	298809320	Fiber One Snacks Soft-Baked Bars	Grocery	5	1.0	1.0	N	Y	Fiber One cake	Always like these.	2015-08-22
US	41310276	R21AKK6ZTLZBPL	B000XK0FFW	151385773	Jelly Belly Jelly Beans, Assorted Flavors, 3-Pound Tub	Grocery	5	0.0	0.0	N	Y	Jelly Beans galore!	The jelly Beans were exactly what I hoped they were.	2015-08-17
US	38462606	R2761KSH9CYPW8	B00CF0ISQQ	685467199	Betty Lou's Just Great Stuff Organic Powdered Peanut Butter and Organic Powdered Chocolate Peanut Butter Combo 6.35 Ounce jars	Grocery	3	0.0	1.0	N	Y	Not Gluten Free	It's OK, but, I have celiac, and it gave me a bad reaction.  So, even though it says 'Gluten Free', it's not :(	2015-08-16
US	30555971	R1CVKF8RJZI403	B00T9778FA	424353083	Kellogg's, Special K, 100 Calorie Chewy Snack Bars, 6 Count (0.88oz), 5.8oz Box (Pack of 4) (Choose Flavors Below) (Blueberry Bliss)	Grocery	1	0.0	0.0	N	Y	Out oyf date. very dry date to use by ...	Out oyf date .very dry  date to use by expired.	2015-08-26
US	27657115	R3UFZDNCGOYIZT	B00Q7BFPQK	880938600	Just Hemp Foods, 100% Natural Hulled Hemp Seeds	Grocery	5	2.0	2.0	N	Y	Affordable, top quality, and properly packaged!	LOVE this company and can't tell you how much money I save with this vendor.<br /><br />I order 4-5 times out of the year and usually get the 4-4.5 lbs per order. I didn't want to subscribe right away until I got to see what the quality was. Sometimes when I subscribe to food products, there's an inconsistency and it drives me crazy when that happens so basically I'm hesitant and fickle when it comes to subscribing. However, since this company has done an excellent job at delivering on time and providing me with quality hulled hemp seeds without rocks or dirt in it. I will finally make the commitment to subscribe. Hulled hemp seeds form is my preferred vegan protein source for cereals, oatmeal, and smoothies! They blend very smoothly and I have never ever had a rancid batch. They have always been extremely fresh and delicious. Repeat: NEVER ever had a bad batch and I do consider myself a bulk buyer since I've gone through about 20 lbs of the product altogether this year. PRICE is extremely affordable and the packaging has always been more than sufficient without being overbearing. Highly recommend.	2015-08-24
