marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	49541798	R3S1BQR7FG0ZZT	B00IY7BNUW	874236579	Avalon Bay Portable Ice Maker	Major Appliances	5	0	0	N	Y	Cranking out the ice cubes.	This replaced an ice maker that looked just like it.  This one makes ice faster, and the low water sensor even works, unlike the previous one.  If it lasts as long as the other one did, and I see no reason why it wouldn't, this is an excellent buy.	2014-11-04
US	1858388	R40CU75MG9ZDZ	B00KRWDJMC	267638230	"34"" Electric Stainless Steel Built-in Kitchen NG/LPG 5 Burner Gas Cooktop"	Major Appliances	5	6	7	N	N	I love it!	The gas burner looks great and installing it was easier than I thought. It features 5 burners which makes your daily life easier and it's also compatible with LPG and NG.	2015-06-13
US	9819925	R2H8JS5E74N7IO	B00DHTYC3W	726221951	"AKDY New 36"" Euro Style AZ-SG-10B7-36-BK Wall Mount Range Hood Stove Vent Unique Black Nickel Finish Stainless Steel/W Full Front Blk Tempered Glass Touch Panel Remote Control"	Major Appliances	5	0	0	N	Y	I love it! Very quiet	It's a masterpiece of the kitchen, I love it !  Very quiet, nice look, good lights and a remote !  What can you ask more ?	2015-08-30
US	26943398	R2MY6MMZ1T28TK	B00KJ07SEM	313983847	GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator	Major Appliances	5	0	0	N	Y	water tastes good.	Quick shipping, water tastes good.	2015-05-16
US	20231388	R2O82KNRL1JA8U	B00KJ07SEM	313983847	GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator	Major Appliances	5	1	1	N	Y	Five Stars	Great filter!! It matches the GE filter that I used to buy.	2014-09-06
US	50180846	R2JZHQIZCT83	B00L1JT4YM	839318065	Samsung DA29-00020B Compatible Water Filter - Refrigerator	Major Appliances	5	0	0	N	Y	Seems to be working ok as a replacement for the ...	Seems to be working ok as a replacement for the twice as expensive OEM filter.  Have not tasted any difference.  Price is right.	2014-08-05
US	27957248	RIZ37AXX67DC4	B00B8YSQOE	593694423	Sonya Portable Compact Cloths Dryer Apartment Size 110v Stainless Steel Drum	Major Appliances	1	13	15	N	Y	This was one of the worst purchases I have ever made	We purchased one of these dryers about 18 months ago for a rental unit and have had numerous problems.  The renters have said it does not dry properly.  I needed a new belt and it took me over 2 months to finally get one, after I tracked down a phone number to call, then get the proper people to call me back and get the right parts shipped out.  It was a pain.  Now it is having more problems and I can't find anyone to service it.  Unfortunately I am going to purchase a new dryer from a local reputable dealer so I can get parts and service when needed.  This was one of the worst purchases I have ever made.	2015-06-01
US	22103376	R3K5DMB5PORMNJ	B00CEZ8MW2	40080906	Keystone KSTRC26BBU Energy Star Mini-Fridge with Wipe-Off Board Front, Black with Blue Trim	Major Appliances	1	5	7	N	Y	Horrible	I understand shipping can cause problems, but two damaged refrigerators causes me to put one star for I have no desire to keep mine at all. Very upset. Little protecting around refrigerator. Not worth it.	2014-05-12
US	51307358	R2NCCH5FE3N0SS	B00IQ9VKV0	482607302	Whirlpool 3977767 OEM Replacement Dryer Thermostat	Major Appliances	2	0	0	N	Y	One thermostat DOA	One of the thermostats was dead on arrival, although the others are working fine.	2015-07-29
US	10525426	R3J68OPVNPEM9Q	B00I9N36X8	460533678	"FIREBIRD VANTAGE 36"" Wall Mount Stainless Steel Range Hood With Gas Sensor & Remote FBGV-10Z-36"	Major Appliances	5	0	0	N	Y	Five Stars	Exelent	2014-09-30
US	1253055	R170MXOBG2S3WG	B0019D9CGK	318191351	"Broan SP420108 42"" White/Almond Range Hood Backsplash"	Major Appliances	4	0	0	N	Y	Four Stars	it was fine, the only thing was it did not come with the 4 screws! REALLY!	2014-08-01
