marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	10729153	R3LRPNZX1JYG8Q	B00OZZ0OCU	772391873	Bone Bridge Pins - Fit Many Taylor Guitars. 3 Degree Taper.	Musical Instruments	5	0	0	N	Y	Five Stars	Great bridge pins! They really improve the sound of the guitar compared to the plastic ones.	2015-07-29
US	42552418	RGB6W5T91G8EW	B001UE6I0G	437819775	Sennheiser HD 380 PRO Headphones	Musical Instruments	5	2	3	N	Y	Good sound quality and comfortable to use	Good sound quality. It feels very tight at first but when you get used to wearing, it becomes super comfortable. I can hear every details in my lossless music collection. Sound isolation is really good but hasn't come close to a real noise cancellation headphone.	2015-08-22
US	69493	R24B5SIX8199ZC	B001N0W2B6	782666367	HDE 3.5 mm Computer Clip-on Mini Microphone	Musical Instruments	5	0	0	N	Y	Five Stars	as described	2015-08-31
US	10509518	R756QD5NL17O	B0002E51ZS	53777311	MXR M-102 Dyna Comp Compressor Pedal,	Musical Instruments	2	3	4	N	N	NOISE MEISTER Great pedal if you want to listen to air traffic control.	This is a great sounding pedal tone-wise but it's Noisier than any others I've used.the tone is great - but if you use distortion or have some interference issues this pedal will make noise all over the place. I thought my amp was broken this thing was so loud.<br />I own a vintage Boss CS-2 and a newer CS-3 - I'd rather use this MXR because of it's tone. But the boss compressors are clean and quiet - even when turned up and combined with heavy distortion (big muff russ - MT-2, MXR Dime Dist. etc) and other way out effects.	2015-08-19
US	12465733	R2JA8ETJY4N7GI	B00BB2QBLI	427624620	Apogee Audio Interface	Musical Instruments	5	3	4	N	N	Incredible sounding device!! Worth every penny.	Simply the best sounding interface on the market and in this price range. I have bought three units to have in a recording studio, so producers and songwriters can use them. The Duet has a solid build and runs on any mac we've plugged them into flawlessly. Apogee support quickly got me up and running. Simply put, if you want the best sounding A/D, D/A , and mic pre's, get the DUET!	2015-07-22
US	22564575	R3MGH2V8HMGMEJ	B0007L8BQW	418236234	Pyle-Pro PDWM96 Lavalier Wireless Microphone System	Musical Instruments	1	1	1	N	Y	One Star	It does not work did not work when received I have to return it.	2015-07-19
US	149235	R3MA5K9A70Z7I8	B000EEJFH6	619845824	Gibraltar Large Gong Stand,	Musical Instruments	5	0	0	N	Y	Love it is just want my gong needed - As ...	Love it is just want my gong needed - As I continue to expand my collection I know I would get another . Very nice  it is strong and shines so beautifully. Carol M	2015-08-20
US	40635163	R2GA0YWZKHXLJP	B003GEKXRM	171687086	Pyle Laptop Projector Stand, Heavy Duty Tripod Height Adjustable For DJ Presentations Notebook Computer	Musical Instruments	5	0	0	N	Y	Five Stars	Quick and easy assembly.  Very versitile	2015-07-13
US	40815381	R18WXJ9KUBNNYL	B0027DO66M	797917631	Danelectro CV1 Cool Cat Vibe Pedal	Musical Instruments	5	0	0	N	Y	Five Stars	Recommended!	2015-08-27
US	42869594	R1W9TE5BLBYPFX	B00VUU6JD6	579522025	Elixir Strings Nickel Plated Steel 4-String Bass Set with NANOWEB Coating Super Light, Long Scale (.040-.095)	Musical Instruments	5	0	0	Y	N	High Quality Coated Strings With A Rich, Clear Tone	Put this set of strings on my Ibanez SR705 bass, and they sound terrific. They're somewhat expensive, but they're clearly high quality strings. They have a rich, clear, rounded tone, and a nice punchiness to them.<br /><br />The Nanoweb coating gives these strings a very nice, smooth feel, and they greatly decrease string squeak/noise. Overall I am very pleased with these strings. They're easy to tune and play, and they sound terrific. They're great strings.<br /><br />I've only used these strings for a little over a month now, and despite their comparatively high price, these Elixir strings are looking like they'll probably end up edging out D'Addario as my preferred strings.<br /><br />If you have any questions about these strings, please feel free to ask, and I'll try my best to answer. I hope you found this review helpful.	2015-07-25
US	13811164	R3I1I1FGJ58Z19	B00XO8E42U	127290302	iFashionCity Microphone Suspension Boom Scissor Arm Stand (White)	Musical Instruments	3	0	0	N	Y	Works fine but came damaged.	The Suspension Boom does what its suppose to do. It unfortunately came damaged and that's why I gave it only 3 stars. Would have given it 3.5 stars but Amazon doesn't allow that. I would recommend if you're looking for something cheap.	2015-07-19
US	50751493	R3NSLR81922QW4	B002QJVTNA	52540222	Everest EZ Series Shoulder Rest for 4/4 - 3/4 Violin	Musical Instruments	5	0	0	N	Y	Great shoulder rest!	Great shoulder rest!<br />Very comfortable.	2015-07-23
US	21319879	R1I8IKXWYX365E	B00QFNW496	564397556	Steinberg Cubase Pro 8 Retail	Musical Instruments	4	1	3	N	Y	Great Deal!	Okay, so what I received was not technically what I ordered.  However, as far as I am concerned, it is probably much better.  The four stars has nothing to do with the seller or really the product I got.  Just that Cubase is not the easiest program to use and their documentation leaves a little bit to be desired.  They do have good YouTube videos.<br /><br />I ordered Cubase 7 Retail with an upgrade to 8 Pro from YRS Midi Systems.  What I got was a Cubase AI Controller with Cubase AI 6 that automatically upgraded upon install to AI 8 with an upgrade to Cubase 7.5..  After registering and activating this, I installed the Cubase 7.5 Upgrade.  It took a bit of messing around and a visit to the support forums to figure out how to activate it all. You have to get the AI 8 on the elicenser first for 7.5 to recognize there is an upgradable version.  But once it does, It automatically upgraded to 8 Pro.  Then I went to Steinberg to download the 8. So I did get Cubase 8 Pro, just not directly.<br /><br />So here's the good part.  I got a controller for free.  Granted, they don't make it anymore, but it still appears to be supported. And I get a full version of Cubase Pro 8.  For a lot less than I would have paid for the full version.  It takes a few more steps to install.  But it's not difficult.  Of course, we won't talk about the hour or two it will take to download 8 Pro. LOL!<br /><br />I have been using ProTools for many years.  But they have changed their licensing process, and now require $200 a year if you want to continue updating. I am currently running 10/11 and I am happy, but if I'm going to have to pay that much, why not switch to something that would be more user friendly and that has something like Chord Assistant. and Intelligent composing - both of which I have been eyeing for a while.  ProTools has neither.  And buying another program to do it just adds on to the $200.<br /><br />All DAWs are basically the same when it comes down to it.  The plugins included may vary a bit, but they are mostly the same. Yeah, you will hear arguments about which is better. But I have used a number, and it doesn't seem to matter too much in the end. It ends up being personal preference. So I will try this out and hope we get along.  :)the same. Yeah, you will hear arguments about which is better. But I have used a number, and it doesn't seem to matter too much in the end. It ends up being personal preference. So I will try this out and hope we get along.  :)	2015-08-25
US	18850955	R249JMOJMB23FQ	B00CMKFO66	417659397	TOMTOP Professional Piano Tuning Hammer Lever Wrench L-shape Piano Tuner Spanner	Musical Instruments	1	0	0	N	Y	A waste of money.	Oversized for either set of tuning pins I needed it for. Loose. Sloppy. Poorly made. This will damage any tuning pins it is used on.	2015-08-30
US	11085636	R3TMFKPY2Y2N55	B00075SCEE	596253680	Audio-Technica AT8449 Microphone Shock Mount	Musical Instruments	5	0	0	N	Y	Five Stars	Excellent  product	2015-08-13
US	202632	R1ELNN6GIOMYYA	B008AOH1O6	188807159	Dragonpad pop filter Studio Microphone Mic Wind Screen Pop Filter Swivel Mount 360 Flexible Gooseneck Holder	Musical Instruments	5	0	0	N	Y	Five Stars	Great it removes my pops really well	2015-08-02
US	16952905	R1I4PYP9MXN2VE	B003B01QSG	232947489	Dunlop  Max-Grip Nylon Standard Guitar Picks	Musical Instruments	4	0	1	N	Y	Grippy!	I love the grip that these provide, and they don't wear too quickly.  I only wish I had gotten them just a tad thicker - maybe 1mm.	2015-08-17
