marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	28407799	R35UCQCZELNA77	B00CL0ODPK	841320713	Brother Part# TZe-S651 Label Tape (OEM) 1&quot; Black on Yellow	Office Products	5	0.0	0.0	N	Y	Great product	Works great. Thank you.	2015-08-22
US	27615774	R2O6KDZ05O1DPU	B010MHXLVK	793981248	RFID Blocking Sleeves (10 Credit Card Holders & 2 Passport Holders) Top Identity Theft Protection Travel Case Set. Smart Holders Fit Wallet, Purse & Cell Phones (Men & Women). Shields Radio Frequency ID.	Office Products	5	0.0	0.0	N	N	I will happily give a review	In exchange of these sleeves, I will happily give a review.  Sometimes when I go to the grocery I stick my debit card in my pocket.  You will probably not  believe it, but it is true.  When I opened my mail today I had a letter that my debit card was going to be replaced.  Evidently something has occurred.  Now my debit and charge cards will be in sleeves whether in my purse or pocket.  I cannot thank you enough for this added security.<br /><br />Many thanks,<br />Polly	2015-08-29
US	28088591	R1FF4U3NCH1LKH	B00LETY9KS	760129108	Flowers Thank You Cards - 24 Cards and Envelopes - Flower Cards	Office Products	3	0.0	0.0	N	Y	Three Stars	Thought it would be better quality just looks like someone printed it from home	2015-08-31
US	16069924	R9A3GE2YALZYT	B000F8RBCM	506489457	Trend Enterprises Ready 4 Inch Letters	Office Products	3	1.0	1.0	N	Y	Three Stars	Hard to separate without tearing	2015-08-28
US	50794464	R2NF0UIUFFHL9K	B00G9N3NYW	76527039	uxcell Red Sunflower Shape Base Memo Holder 13cm Long Spike Stick Bill Fork	Office Products	5	0.0	0.0	N	Y	Five Stars	Sturdier than expected!	2015-08-20
US	1604328	R2SIHH17KEWA7	B00XXOQ180	46140089	Naruto Mouse Mat for Gaming Extra Large Mouse Pad 23.5x11.5x0.12 Inch Edge Sealed (17)	Office Products	5	0.0	0.0	N	Y	Great mat, i use it for pokemon tourneys and ...	Great mat, i use it for pokemon tourneys and it works great. Nicer than most mats, and real thick. Honestly couldnt have asked for a better mat	2015-08-20
US	25669152	R3NXKG445X2N4X	B00VIXER3E	230624515	RFID Blocking Sleeves	Office Products	5	0.0	0.0	N	Y	nice product.	Quick delivery, nice product.	2015-08-29
US	17519976	RG61DZ6RDE3UO	B002ROFWUK	681018501	Address Labels 1 X 100 Sheets 30 up Fit Sizes 5260 5520 5810 Compatible Sticker Labels	Office Products	4	0.0	0.0	N	Y	Four Stars	Way cheaper and worked just as well as the name brand labels.	2015-08-18
US	14982185	R3A49BDXR4C12R	B001DPHRWK	795959946	Panasonic TY-LA1000	Office Products	5	0.0	0.0	N	Y	Replacement bulb for TV	Very happy with bulb so far. Very excited when I found the availability on Amazon.	2015-08-31
US	46776256	R1VI3DUA1MOC94	B00IP8DZ9W	593615256	Outop Colorful Pen	Office Products	3	0.0	0.0	N	Y	Three Stars	They write really well but they are very easy to break.	2015-08-21
US	31416117	RBIE2ONMAD8QE	B00DD421X4	334602530	Vaultz_1	Office Products	2	1.0	1.0	N	Y	Box came with a dent in the metal at the ...	Box came with a dent in the metal at the edge of the lid -- probably an issue at the origin, as the packaging showed no damage. Unfortunately I needed it the next day, so did not have time to return this item. But I will be wary of buying products from Ideastream Consumer Products, LLC going forward.	2015-08-19
US	3594005	R1KDZMBMI5BSC	B00416DLOQ	443223220	Heavy-Duty Retractable Key Chain Reel 48 Stainless Cable - Great for ID Swipe Cards Model: Office Supply Product Store	Office Products	5	0.0	0.0	N	Y	Five Stars	super	2015-08-21
US	29817580	R108BVO0W8D55O	B00KQLSA1E	508300011	Letter Laminating Pouches 3 Mil 9 x 11-1/2 Hot Qty 100	Office Products	3	0.0	0.0	N	N	Just ok.	I've used quite a few of these and they are just ok when compared to the Scotch ones. One of the first things that I laminated needed to be cut out. Once I cut it, the sheet started peeling off. I ran it back through my laminator and it sealed back up but the Scotch ones don't peel at all once I cut them.<br />I am saving these for full sheets only and have more Scotch pouches on the way for items that need to be cut out after laminating.	2015-08-30
US	18055051	R2U2KWO964SSCT	B00D5PXSRE	225610691	Brother Printer Innobella LC1013PKS LC101 3pack Standard Yield Color Ink	Office Products	5	0.0	0.0	N	Y	Five Stars	Great	2015-08-31
US	52969854	R1NE6C4C85QRS4	B00OMBPI0K	186604516	Tools4Wisdom Planner 2016 - 2017 Calendar 4-in-1: Daily Weekly Monthly Yearly Organizer - Purpose Driven Goals Planning Book - Personal Life Progress Journal Notebook (8.5 x 11 / 200 Pages / Spiral)	Office Products	5	0.0	0.0	N	Y	Great product!	I have a new job that requires constant goal-setting, ever-changing to-do lists, and precise time-management, so I &#34;downgraded&#34; to a paper planner for the first time since the advent of the online Google calendar. This planner has been indispensable in my attempt to improve my time-management. I love that it includes detailed time planning as well as to-do-lists and goal-setting all in one place. My only suggestion would be to make it a smaller size--5x7 would be perfect.  The 8 1/2 x 11 format is cumbersome.  That said, I still love it and would recommend it to anyone who struggles to manage their time.	2015-08-26
US	38730349	R3QZ7QDNA9ZD0O	B002M7W9GW	529215213	Brother P-touch Personal Labeler (PT-90)	Office Products	3	0.0	0.0	N	Y	Prints great. Other things aren't so great!	This label maker does a great job printing. The separating tool on the back isn't too user friendly though. I normally end up doing it with my fingernail. It eats batteries as fast as my dog gobbles down her food at dinner time.	2015-08-23
US	52610028	R36BLBL6B6PWR4	B006ZUGBYI	394049599	Staedtler Triplus Blackbox	Office Products	5	0.0	0.0	N	Y	Over prices pens and pencils that are a little expense ...	Over prices pens and pencils that are a little expense, but well worth the cost. Pleasure to use.  What can you say, German engineering ain't cheap,	2015-08-27
US	22544019	R2EV1SEO8QRZH6	B00C74OE5E	229352333	UHP 280-245W 1.1 E21.7 Philips Projection High Quality Original Projector Bulb	Office Products	5	0.0	0.0	N	Y	Bright, Genuine Philips Lamp	Works great in my NEC U310W.	2015-08-22
US	15821693	R32XVCS4AD2CRB	B001P1ZDTG	646429580	uni-ball 207 Retractable	Office Products	5	0.0	0.0	N	Y	Five Stars	Used for work. No complaints yet.	2015-08-28
US	51514278	R2ZHHWPAYQQASM	B001NXDFDM	886641089	Fisher Space Beam	Office Products	4	0.0	0.0	N	Y	Four Stars	Great for indoors/ close range outdoors	2015-08-28
US	31706858	R181Y9HDBDZCC0	B00ELYWM3O	931704132	LLR18573 - Lorell SOHO 18 3-Drawer Vertical File	Office Products	3	0.0	0.0	N	Y	Great for home.	It works, if you don't mind a black steel cabinet in your home, it's just fine. I would think it is a little flimsy for office work.	2015-08-30
US	45335265	R3DR6RKDIG7OGP	B00QVOKTLE	827457008	[Apple MFi Certified] Skiva USB Link Lightning Duo 2-in-1 Sync and Charge Cable with Lightning & micro USB connectors for iPhone 6S/6SPlus/iPad Air2/mini1/2/3/Samsung & more -blue	Office Products	5	0.0	0.0	N	Y	Five Stars	Worked really well except doesn't fit in otter box case of 6+.	2015-08-27
US	47666641	R2UAP2XWWFBULY	B00VEYOX7M	206783321	Valuetoner Remanufactured Ink Cartridge Replacement For Hewlett Packard HP 60 CC640WN CC643WN (2 Black, 2 Tri-Color) 4 Pack	Office Products	5	0.0	0.0	N	Y	Five Stars	Excellent value, worked great.	2015-08-31
US	26602132	R2DD3NOFHGM774	B00QXZLER4	947345266	BLOCKIT RFID Protector Sleeves - Made in the USA & Recommended by Lifelock - 12 Piece Travel Set Includes 10 Credit Debit Card Protectors & 2 Secure Passport Holders, Best Protection for Travelers!	Office Products	4	1.0	1.0	N	N	Four Stars	Nice tight fit and hopefully it works as described.	2015-08-27
US	41477908	R27A8FZQ8JA62W	B00IU7R2ZG	812206389	New cute little fresh flowers pencil bags student stationery pen case 4pcs random color delivery	Office Products	5	0.0	0.0	N	Y	Five Stars	My daughter loves them!	2015-08-28
US	52966461	R2MS17HJF4ZT9K	B00USR6USG	96124684	iPad Air 2 Genuine Leather Case-Benuo Vintage Classic Series	Office Products	5	1.0	1.0	N	Y	Excellent Value	Purchased in June, holding up very well. Nice snug fit. One of the better cases I've used, and I have tried many since purchasing my first iPad.	2015-08-24
US	45731279	R1COD7CMH483KL	B007BSZM3O	922743059	A6 Invitation Envelopes	Office Products	5	0.0	0.0	N	Y	Five Stars	Color and size were as expected.	2015-08-20
US	29254971	R1RZLBYL14Q302	B001CQFRPO	649554421	NeatReceipts Mobile Scanner and Digital Filing System	Office Products	5	0.0	0.0	N	N	I would and do recommend this product and this company	Jam the technician at NEAT was extremely helpful in solving a recent problem.  I would and do recommend this product and this company.	2015-08-23
US	11449296	R1P060PI5SC35T	B001GDNA6Q	152558523	"ValueMailers 350 ft 3/16"" SMALL BUBBLE CUSHIONING WRAP 12"" wide, perforated every 12"", 350 total sq ft"	Office Products	5	0.0	1.0	N	Y	BUBBLES?  WHO SAID BUBBLES;?!? POP POP	This is a large set of small air bubbles trapped in sheets of thin plastic. These bubbles are easily traveled with and small sheets can fit in your pocket or briefcase. The air used to create these bubbles are from an underground bubble mine where the highest quality oxygen rich air is formed. The bubbles are guaranteed to maintain there stress relieving properties including fluffyness for 6 months<br /><br />In cases of extreme stress roll up 5 to 10 sheets and run over with car tire.<br />In the extremely rare case that this is not enough simply run over the entire roll with a dump truck.<br /><br />I mean seriously... Who doesn't love bubbles???<br /><br />Of all the bubbles I have purchased these are definitely the best quality for the price. When looking for bubbles you actually want ones that are not too hard because in case of an extreme fall or kick the bubbles need to be able to explode in order to absorb the energy.  Obviously you don't want them all to explode which is why you need a bubble that is neither too firm nor too soft.	2015-08-21
US	52326300	RHDWFCQ2BN7F3	B001AOFFR8	673281353	"5 Mil Luggage Tag Laminating Pouches w/Slot 2-1/2"" x 4-1/4"" (500/bx)"	Office Products	5	0.0	0.0	N	Y	Five Stars	The price was very good for these.  They are what they say they are and work just fine.	2015-08-22
US	24909615	R2EZL8EKKGOX4S	B00BGDV9P0	256981464	RCA VISYS 25252 Cordless Phone Battery Ni-MH, 2.4 Volt, 750 mAh - Ultra Hi-Capacity - Replacement for G.E. 5-2762/2770 Rechargeable Battery	Office Products	5	0.0	0.0	N	Y	buy it	Works well	2015-08-21
US	20196432	R3T6XWQB62NRV8	B0013C9BOA	896971013	3M Gel Wrist Rest for Keyboard - Designer Series Green	Office Products	3	0.0	1.0	N	Y	One annoying thing but on the whole a good product	This is very pretty. I've gotten a lot of compliments on it from folks at work. What I like about it is that it's obviously MINE and not one provided by work. So I'm not asked to share. But, it's not perfect. This isn't quite as comfortable as the other 3M Gel pad I had that was just boring gray, though it's acceptable. But the biggest con for me, it's got this rubber/plasticky grip on the bottom that is supposed to keep the pad from moving, but it does such a good job you have to peel it off your desk of you want to move your wrist rest around. Drives me nuts because I like being able to move where my mouse pad is depending on which part of my desk I'm working at or if I've moved around in my chair. Because it looks like my own personal wrist rest and the beach picture makes me happy, I'm willing to deal with the annoyance of the sticking to the desk.	2015-08-25
US	13674890	R688UQ1Q1GFU2	B00BP4FSO8	92867369	Faber Castell Pencil Eraser, DUST FREE (Excellent clean erasing)	Office Products	5	0.0	0.0	N	N	Five Stars	Definitely the best eraser I've ever found. Does a great job and leaves a minimum amount of residue.	2015-08-30
US	50329822	RQNN98J9GA7JC	B000NM19X2	879928555	Rapesco 74 Desktop Pencil Sharpener (R74000B2)	Office Products	5	1.0	1.0	N	Y	Best sharpener ever!	LOVE IT!  I will never go back to an electric sharpener again.  If you want a sure fire way to sharpen a pencil to a point and not worry about it jamming up then this one is your answer.  It self-feeds the pencil in and is just a gem.	2015-08-31
US	12285367	R28OKX07VATCQ7	B00MOSGSC0	487371931	Canon Office Products MG5620 Black Wireless Color Photo Printer with Scanner and Copier	Office Products	4	0.0	0.0	N	Y	WIRELESS	Works as advertised. Print could be darker. Ink refills are $$$$.	2015-08-21
US	49312294	R1ONT5PGEJA2TT	B00D3AFMT8	238711407	Duck Brand Bubble Wrap Original Protective Packaging Single Roll	Office Products	5	0.0	0.0	N	Y	Five Stars	great	2015-08-26
US	47057472	R281Y9LXWK22D3	B00LV7LFS2	763793043	Blue Sky 2015 Looney Tunes Monthly Desk Pad Calendar, Case Bound, 22 x 17 Inches	Office Products	5	0.0	0.0	N	Y	but I like Tweety so it's no big deal to me	Tweety is on every calendar page, but I like Tweety so it's no big deal to me.  Nice big squares to write what you have to do in them.	2015-08-18
US	42585696	R28EKUA85FJD4M	B00IXSE7E6	560287012	Sentey Gs 2340	Office Products	2	0.0	0.0	N	Y	not good for constant use	Had this mouse pad for almost a month- PROS--great price- great size. CONS- after a month of using it 40 hours a week, the smooth surface has rubbed off where my hand sits, leaving behind a rough texture that is very unpleasant feeling-  i can turn it around a get another month of use out of it. not a worthwhile investment for me. great if you don't use it &#34;full time&#34;.	2015-08-20
US	17519976	R3OE70ZP6DG967	B001EQ6684	429629731	Neenah Exact Vellum Bristol	Office Products	5	0.0	0.0	N	Y	Five Stars	Worked well for it's intended purpose.  Much cheaper on Amazon than other places.	2015-08-18
US	41456471	R3H1M02LWEX2J9	B00GGGQG5K	227427058	Optoma 3D Ready Portable DLP LED Projector	Office Products	5	0.0	0.0	N	Y	Five Stars	best alternative to Front projection tv, no more bulb replacements.  Best kept secret!	2015-08-28
US	51983585	R30LEH4X8RWKRR	B00ATZ9K0C	530903469	Canon PGI-250 PGBK Ink Tank, Compatible to MG5520, MG6620, MG5420, MG5422, MG5522, MG5620, MG6320, MG6420, MG7120, MG7520, MX722, MX92	Office Products	5	0.0	0.0	N	Y	Canon ink	Fast shipping. Great price!	2015-08-20
US	49223140	R2X6J30EKNUF0A	B0015ZZ7P2	646429580	uni-ball 207 Retractable	Office Products	5	0.0	0.0	N	Y	Five Stars	The perfect pen. If you write things, buy these pens. They glide over the paper easily.	2015-08-25
US	20180940	RPKE1C3ESNLR5	B00FIWW9LS	178225843	Canon MG2520 Color Photo Printer	Office Products	1	3.0	3.0	N	Y	DO NOT BUY THIS	Came with no ink--terrible for a new printer.  It was advertised as coming with ink--the instructions even said it came with ink cartridges.	2015-08-29
US	38930669	R3R2D0LHP5EDYL	B001167XXY	267973018	Genuine Brother TN-360 High Yield Black Toner Cartridge	Office Products	5	0.0	0.0	N	Y	Five Stars	does the job	2015-08-21
US	36683755	R1PJOBCCCPVTF	B00KVMSRG6	275272461	E-Z Ink Remanufactured Ink Cartridge Replacement For Epson 127 Extra High Yield (2 Black, 1 Cyan, 1 Magenta, 1 Yellow) 5 Pack Compatible with Stylus NX625 WorkForce 545 645 840 WF-3520 WF-3540 WF-7520	Office Products	3	0.0	0.0	N	Y	Three Stars	Satisfied with product	2015-08-23
US	12430999	RR974VQSQWURC	B001PMG9SO	632454945	Duck Brand Shark Pro Tape Dispenser for 1.5 or 3-inch Core Packaging Tape with Comfort Grip Soft Rubber Handle	Office Products	5	1.0	1.0	N	Y	Great tape gun for an even better price!	Best tape gun I have used.<br /><br />The retractable blades are a great safety feature and the included roll of tape is very high quality/heavy duty.	2015-08-20
US	14511656	R1CHILAA68S5OE	B00LB5M3ZI	983007149	Filofax 2015 A5 Organizer, Domino Black (C027868-15)	Office Products	4	0.0	0.0	N	Y	I Love Filofax, and this binder is just want I ...	I Love Filofax, and this binder is just want I wanted. I spent hours on line reading review and watching YouTube videos on the A5 binder and which one would fit my needs. This one won, due to its style, inside pockets and the space it provides. I only rated this product 4 stars and that is only because the front and back cover has lines all Ov<br />over it... It's not as bad as it sounds, but I notice it.	2015-08-27
US	10253833	R1YXRV0BT35HER	B000I3T3K2	712395454	Philips Wireless phone/modem jack system PH0900	Office Products	1	0.0	0.0	N	Y	Too much noise to work	Can't use because there was too much noise to work.	2015-08-24
US	41661086	R34HCDG1QWPN44	B00GSZ7D2Y	366776873	Compatible Ink Cartridge Replacement For Brother LC103	Office Products	4	0.0	0.0	N	Y	Once installed, cartridges working well so far...	Tricky to get cartridges into printer (need to use more force than you'd think the printer could withstand) but otherwise OK.	2015-08-24
US	36171444	R1RVKY6Z8VSKC1	B0080ML180	553202601	Epson T200 DURABrite Ultra Standard Cartridge	Office Products	5	0.0	0.0	N	Y	very good quality, and the price of course at Amazon	Been buying this for awhile, very good quality, and the price of course at Amazon, is always an incentive to guy!	2015-08-27
