marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	50309105	R389AL33B568S	B000XUM7NA	266501472	Granite Gear Kitchen Sink (Assorted Colors, 2.25-Gallon)	Outdoors	4	0.0	0.0	N	Y	However it still worked for dishes like plates and bowls -- just not for a giant ...	I should have looked at the dimensions -- it was a lot smaller than I thought. However it still worked for dishes like plates and bowls -- just not for a giant load.	2015-08-23
US	45332933	R23M9IUGH6C2XV	B000HBMFRS	842753395	Intex Pillow Rest Raised Airbed with Built-in Pillow and Electric Pump	Outdoors	4	0.0	0.0	N	Y	I really love this air mattress because it is so easy to ...	I really love this air mattress because it is so easy to use. The built-in inflator make life easy and it inflates/deflates in almost no time at all. The mattress itself is nice with room for two &#34;not small&#34; people to be comfortable.	2015-08-29
US	11323497	R16NVGJ62OQ3FY	B004M0YXU2	591242741	Kamp-Rite Oversize Kwik Cot	Outdoors	1	9.0	9.0	N	Y	The cot tore at the seams the first night. ...	The cot tore at the seams the first night. I weigh 250 and i am 6'2&#34; well within it's weight limits. I would not buy again.	2015-08-31
US	6628751	R2RXDRG1WTWAPL	B004O416I8	635169889	Level One Seat Belt Cutter X 2	Outdoors	4	0.0	0.0	N	Y	It is what it is	I have not had to use this yet and I hope to never have to but it is now in my car! I am satisfied with the product.	2015-08-28
US	24113792	RB6WCGYY99BWR	B00EOY3ZY6	660672889	BV Bicycle Wedge Top Tube Bag with Flip-Top Opening	Outdoors	1	1.0	1.0	N	Y	iPhone 6 barely fit	I bought this thinking that I would use it to transport my wallet, phone and possibly Kindle.  The bag seems much larger online so I fully expected it to hold all of these items.  In reality, it barely contained my iPhone 6, and I was unable to place my wallet in the bag without the bag losing shape and the top not being able to close (the Kindle didn't fit either).  On that note, I felt that the velcro top was too weak - if I got into an accident with my bike, I would be nervous that the bag would open and the contents would spill out.  It's hard for me to recommend this product to anyone because the space is so small.	2015-08-21
US	36861647	R264G79JBF74NX	B000OF3JVI	149171233	AQUA ZOOKA Quick Fill Water Bazooka	Outdoors	5	0.0	0.0	N	Y	Five Stars	Not a lot of quantity, but fills quick and shoots far.	2015-08-20
US	42658378	R20GUYUI2ZZNXI	B00ZFX4SIC	985402613	Fruit Infuser Water Bottle Bundle by Hawkeye - Large 32 Oz - Leak Proof - BPA Free - Commercial Grade Eastman Tritan Plastic - Create Healthy Fruit Flavored Water Recipes with FREE eBook Included	Outdoors	5	10.0	10.0	N	N	Super impressed with this infuser water bottle	Super impressed with this infuser water bottle.  I've never had an infuser I purchase come with a sponge to easily clean your water bottle!  I love how the lid easily locks closed, though I wish there was not a metal piece holding this end as I hope it doesn't rust over time. But on the plus side, its a extremely large infuser water bottle.<br /><br />Quite bigger than any of the other bottles I have, which is wonderful as I don't have to repeatedly fill the bottle as many times during the day and refreshing up with newer frozen fruit.  Using frozen fruits also helps keep your infuser water bottle cold alot longer throughout the day.  Also included in your purchase is a handy carrier incase you're going on long walks, bike rides, etc.  Lovely infuser water bottle and I'll definitely be recommending this to colleagues! I received this item at a discount in exchange for my review	2015-08-29
US	28868635	R30T9BZK13ZLXW	B003MHV7BE	36524707	Snugpak Response Pack, Coyote	Outdoors	1	0.0	1.0	N	Y	For a stroll around the park, nothing longer	Tiny, holds very little.	2015-08-19
US	24056732	R2P81IFSF07ZMO	B008S4SX5E	761538671	TopSun Roswheel Rear Seat Trunk Bag Handbag Bag Pannier for Bicycle Black	Outdoors	5	0.0	0.0	N	Y	Perfect! It does tend to slouch and may slide ...	Perfect! It does tend to slouch and may slide around if your rack isn't standard. I attached mine with zipties and it functions great.	2015-08-31
US	49998252	RZZLUG1OHU0UL	B00SI91612	945337819	EcoReco M5 E-Scooter	Outdoors	5	2.0	3.0	N	N	I love Eco Reco	This is a fabulous scooter! Perfect for the last mile, or scooting around small downtown or inner city. It is quick, fun and adult style! Solid built. I use a helmet, ride as by bicycle rules. Lights I found that mount for anytime safety, one for the Front bar & backpack, but you will not be over sighted. Whip out of trunk, scoot into work. As I am always pushing time in my busy day. 1 mile in quick! Great service team, answers questions readily! I love this!  I tend to push about 12-15 mph. Does build core with use as you need for balance. Most of all sweaty from mile hike in is so non professional! (Light & Motion bike lights / REI styles that clip on)	2015-08-22
