marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	43862862	R2EINLG1I2CVUL	B000YDVZKW	808233474	Indus Classic Himalayan Natural Ionic Rock Salt Lamp 2-4 lbs,	Personal_Care_Appliances	3	0	0	N	Y	ask before you buy	item purchased deferred from picture online and description after I bought this I'm picture and description changed online. I received the item and came to an agreement on a price cut. product is good just not a purple persian salt lamp.	2013-12-11
US	31006888	R1IR19SR6JDS4Z	B00N3CPKZ2	665985610	"Bath Grab Handle 24"" Super Grip Suction Safety Support"	Personal_Care_Appliances	1	0	0	N	Y	do not buy	after 30 mins fell off the wall a waste of money	2015-04-12
US	42887396	R1O5E3SNQNCOR2	B00H9L7VIW	851045898	boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply	Personal_Care_Appliances	5	0	0	N	N	A great product to get your engine going	I can feel my energy level has increased after 3 weeks of losing this product. When ordering the product I purchased for the testosterone boost and didn't notice the male enhancement label. I have to say, it certainly does give you that extra little boost you need at times. A+	2015-08-28
US	26406797	R1JYDG8MAZUIVJ	B00NN85C68	180974914	Moonriver Beauty Small Tapered Blending Brush	Personal_Care_Appliances	5	0	1	N	N	Great ! Video Review too.	I personally have been super impressed with the company and products ! Some I love more than others but thats how I am with every brand. They are amazing and def affordable.<br /><br />Moon River Beauty Brushes: http://youtu.be/udU5uPx682I	2015-03-01
US	24759657	RFXDOY35YVENW	B000C4RRWS	449647960	Tri-Seat Adjustable Seat Cane (Color - Bronze)	Personal_Care_Appliances	4	1	1	N	Y	Worked great	I took it to a big craft show last week and used it often.  I have a bad back and need to sit every few minutes.	2013-06-15
US	19980652	R1724LGZTWYOP8	B002PX4AO2	93662711	Powermatic 2 Electric Cigarette Injector Machine	Personal_Care_Appliances	5	0	0	N	Y	powermatic 2 electric cigarette injector machine	I would purchase this machine again.  Great machine.  I use it to fill cigarette for my husband and my sister.  My sister has MS and is unable to use the machine.  I wanted something easier for me to use then a manual machine.  This machine is fantastic.  I may get another one to have on stand by if this mahcine ever goes down.  Great machine.	2013-03-20
US	24474709	R3QMWQYK8BN9XJ	B00H9L7VIW	851045898	boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply	Personal_Care_Appliances	5	1	2	N	Y	Great mens vitamin	Ive been taking this product for almost 2 months and haven't noticed an increase in length but definitely a big difference in girth. A great product that has multiple ingredients' that help provide more blood flow to where it matters most. My second week of using boostultimate I started having rock hard erections and my wife has loved the girth increase. Best of all I get a free bottle just for writing the review which is well deserved. This products works great with my body chemistry but not everyone has the same chemistry. I recommend at least buying 2 month supply to see how well it works with your chemistry before buying larger quanities. Definitely a repeat customer. My wife will make me lol!!!	2015-03-23
US	32186653	RC5UWGWRYDWBD	B001EMR902	771423867	Sassi Professional Acrylic Kit.	Personal_Care_Appliances	5	7	7	N	N	very nice!	This was a very nice suprise. i was happy that everything was (like)new and authentic, for so cheap! all items work well and i would recommend this product to my friends!	2012-08-22
US	18183997	R1Z4D0UJI59OCU	B00H9L7VIW	851045898	boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply	Personal_Care_Appliances	5	2	2	N	N	get the body I want	I used to be very skinny and really unhealthy because I had very little muscle. These really allowed me to get the body I want in little time.	2015-06-28
US	10373195	R2TVOJWE4I49FH	B001KCBCIG	18896765	BACTRACK B70 Breathalyzer w/BluFire Technology - Black	Personal_Care_Appliances	3	0	0	N	Y	Three Stars	Pas certain de l'exactitude de lecture.	2013-08-28
