marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	4237691	R15CY5XCSRBV0L	B0072E6D44	685387922	Dr. Martens Women's Triumph 1914 W Boot	Shoes	5	0	0	N	Y	I am so in love with these boots	I am so in love with these boots! The only downside is they don't have a side zipper, but I proudly wear them all day long!	2015-08-26
US	27450182	R21BEYGO0VYO2M	B004RR0N8Q	299836074	Magpul Gen 2 MBUS Rear Flip Sight, Black	Shoes	5	0	0	N	Y	I would recommend	Very nice	2015-08-30
US	46510269	R1IPTXTRRWN9MS	B00506CXJU	978462837	Sanita Men's Professional Cabrio Clog	Shoes	1	3	3	N	Y	Service was not very nice about it	The sole broke in one shift. And by broke I mean I had a chunk fall off. Service was not very nice about it either	2015-08-31
US	26922090	R1KMA9E2XBRCFM	B005VICPXQ	53613170	"Thomas & Friends ""Tank Engine"" Train Toddler Velcro Athletic Blue Shoes - Size 6"	Shoes	3	0	0	N	Y	cute, but run small	very cute, but they run very small (compared the Stride Rite and Nike brands he has in the same size) and also seem more narrow as well.  very cute though!	2015-08-29
US	36076189	R2TI2VG9NLPS7C	B00HWYQKQ0	845567020	Clarks Womens Brigita Glory Slip-On	Shoes	5	0	0	N	Y	Five Stars	Love these shoes. They are very comfortable. They are very pretty.	2015-08-25
US	1522258	R2NCU6MHJOO7QI	B001AQMLIC	914000519	Ray-Ban RB4115 Sunglasses	Shoes	3	0	0	N	Y	good quality BUT small 4 adults	I gave 3 just for high quality that RB has, but suppose to be moved to juniors section its too small for adults .	2015-08-24
US	48706342	R3SBB8YOZXOS4K	B00RB8MLRE	801426038	Franco Sarto Women's Arrow Two-Piece Pump	Shoes	5	0	0	N	N	Classic, comfortable	Gorgeous classic timeless and comfortable! I needed shoes that I could wear for interviews, and these are very professional looking.  I can walk in them no problem, and as the leather breaks in I am sure they will be more comfortable. They do not pinch my toes, yet they are pointy in the toe, so they look great with pants and dresses. Well made and great looking!	2015-08-30
US	43209085	RW0J4G29IEEAL	B001D9SCS4	803605312	Magnum Men's Stealth Force 6.0 SZ Composite Toe Boot	Shoes	3	0	0	N	Y	Mach 1 style was better	I preferred the Mach 1 shoes which are discontinued. These are not as comfortable as the Mach 1 shoes were. Still working on breaking them in and hopefully they will be more comfortable.	2015-08-23
US	46579176	R2BSVUYTI53QGD	B0058YY856	37120990	AVIA Women's A5024W Running Shoe	Shoes	3	0	0	N	Y	Not enough support	These are my new yardwork shoes. They're not the same good quality other as my other Avias.	2015-08-31
US	48262632	R3GDMXFLM63JSL	B00DQV5I48	756311102	Teva Women's Neota Athletic Sandal	Shoes	1	0	1	N	Y	straps break -	the shoe fit fine,  but the strap in the back broke!!  they are not sewn properly - one seam is not enough to withstand a summer of wear.  now the $60.00 shoe is unwearable....  boo hoo	2015-08-25
US	24674616	R1DVLSIX3JHE6H	B00G27KZVY	358610481	New Mens Black Warm Waterproof Winter Snow Rain Boots	Shoes	1	0	0	N	Y	One Star	The quality of this boot is horrible! My fiancé refused to wear them...	2015-08-24
US	15049751	R1IM8T66AXM0JZ	B007UPM89O	897060396	Revant Replacement Lenses for Oakley Flak Jacket	Shoes	2	0	0	N	Y	Two Stars	They don't look good	2015-08-25
US	15019431	R3TPE759BARF4M	B00JG697VW	421421340	Lauren Ralph Lauren Women's Sarina Pump	Shoes	2	3	3	N	Y	Beautiful shoe but poor quality	The shoe is as beautiful as it looks but the entire heal came out after one month after paying $99.00 for this is expected a much better quality. I will not be buying and shoes from Ralph Lauren again	2015-08-31
US	44384359	RTZVE0O1M3R0F	B001JEG5UK	576869127	Georgia  Men's Giant Romeo Steel toe GS262 Work Boot	Shoes	4	4	5	N	Y	Romeo GS262	took about a week to break them in, they feel good now.  I have had Georgia boots before, good quality for the $$$.<br />this is the first pair of slip-on's I have owned. so far so good.<br />I am a Machinist working 12 Hr. days.	2015-08-31
US	52968582	R1I5LZN7TI1R2T	B0061RUKBA	195365109	LensCovers Sunglasses Wear Over Prescription Glasses. Polarized Size Medium.	Shoes	5	0	0	N	Y	works for me	These glasses cover my prescription glasses and look a little more stylish than what I had been using. It is not an extremely dark tint which works for me.	2015-08-28
US	22054656	R17037BPAKNLEH	B00TXZF6T8	5810314	Athena Alexander Women's Peggye Wedge Sandal	Shoes	3	0	0	N	Y	I love these shoes	I love these shoes.... super cute and stylish, but toooooooo small.  Had to order one size up like everyone is saying and even then it was a little tight.  The look is 5 star, the fit is a 2.	2015-08-26
US	19349835	R163MFDAPM3ZRF	B003JJ8ODE	361835120	KEEN Women's Targhee II Mid WP Hiking Boot	Shoes	5	0	0	N	Y	sizes run small	these boots work great .  used them for 4 weeks in 4 years on the Appalachian trail.  But beware sizes run small.  I usually wear a 10 and had to send them back for a size 11.	2015-08-29
US	1775083	R8UMEQVTTZ7R9	B00SCV3TZW	975366482	Jessica Simpson Women's Presslie Dress Sandal	Shoes	5	0	0	N	Y	Five Stars	Perfect!!!!	2015-08-25
