marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	42805245	RIQJ0FWE1TO3D	B00K372RWO	51104102	Medieval Renaissance Hawk Wood Genuine Real Leather Sword Right Hand Frog Black	Sports	3	0.0	1.0	N	Y	not as expected	bought in error	2015-08-26
US	15278931	R2WUZPYI34MAFT	B001448IQ4	399633148	Davis Instruments Windex 10 Suspension Bearing	Sports	5	1.0	1.0	N	Y	Easy install. Good product.	Easy install. Solid item.	2015-08-30
US	52467947	ROVT8XIK2DDO0	B00HWJGMGI	457555201	Moultrie M-1100i Game Camera	Sports	3	3.0	3.0	N	Y	but my cell phone takes far superior videos. Had to return 2 of them for ...	I bought 5 of these 1100i cameras in April, 2015. Have not used any other trail cams, so can't compare. But I got them to supplement other video taken with a DSLR. I expected decent &#34;full HD&#34; quality from them, but my cell phone takes far superior videos. Had to return 2 of them for replacement already (one failed to power up, second stopped turning on IR lights at night). Moultrie was good about replacing them quickly, but they shouldn't have failed so quickly. Main issues now: they often turn on IR lights when not needed, resulting in useless, white-out videos; in bright daylight conditions, video colors are grossly over-saturated, and/or over-exposed. If you just want these to identify what's out there, they're ok. But if you hope to get good quality hd video, you might be disappointed. I have gotten some reasonably good videos, but many disappointments too. And detection/startup time does not appear to be sub-second, or even close. Contacted Moultrie by email via website expressing these concerns, and a week later I still have rcvd no response at all. I just called them, asking if there might be a firmware update to correct issues, and was told there may be one next year (2016), but not before. Asked if there was a process where I could request these issues be addressed in the next update, and the rep had no clue how it's handled. Another issue is that the lenses are cheap, and some cameras have a blurry area in the video. Also, playback feature often hangs up unexplainably and I have to power off/on again, or better yet, just  take the SD card home and put it in a computer. All in all, they're useful, but in today's world of technology, the performance is sub-par. Moultrie: your support people should be better informed and responsive, your firmware updates more frequent, your product performance improved; I would rather have to pay a little more for a better camera than to put up with this.	2015-08-31
US	940875	R32M0BS72E0NIE	B0018Y4SXW	867396013	Magma Chefsmate Connoisseur Series Gas Grill	Sports	5	0.0	0.0	N	Y	Awsome Barbique For My Boat	Cooks fast on low setting and maintains heat evenly, love it.	2015-08-30
US	39027424	R3OK1RRNMNRO8P	B007A7SQ84	321332180	Real Avid Toolio Universal Scope Mounting Kit	Sports	5	0.0	0.0	N	Y	Five Stars	Must have for mounting scopes	2015-08-25
US	28549307	R3KQSGDZZ4NC77	B00T34P34M	68309300	Moultrie Game Spy A-5 Gen 2 Low Glow 5.0 MP Camera, Green	Sports	2	12.0	15.0	N	Y	Not User Friendly	It's a toss-up as to which is more user-unfriendly - the device or the instructions.<br /><br />Some things I've learned:<br /><br />1.  You will have to put 8 AA batteries in the unit for proper functioning - even if you plan to use an external power source for long-term operation.  The unit apparently does not have non-volatile memory for retention of settings,  and the AA batteries are necessary for that purpose.<br /><br />2.  The port for the external 12 volt power source is on the bottom.  Therefore, as a consequence, the power plug that goes into the port will extend from the bottom of the unit.  No problem here, except when you fasten the unit to a photo tripod - be careful you don't crush or damage anything.<br /><br />3.  Data/photo cable readout - Tricky here - use a cable with a micro USB connector - then select set-up mode, then plug your cable in.  &#34;USB&#34; appears on the little LCD readout and the usual dialog box appears on your computer screen.  Moultrie HQ had not the foggiest about how to do this..<br /><br />4.  Since you will have to periodically remove the SD memory card for data retrieval, it would be nice if it could be easily done.  But, no, that is not the case because the port for the card is located behind the latching mechanism for the front panel  and is barely accessible - better have very small fingers here.<br /><br />5.  Turning the unit on and actually taking some pictures  - not so easy either.  You have to unlatch and open the front panel, throw the switch, and then latch everything up again.  Ok, but again not so easy if the unit is on a tripod.<br /><br />6.  The actual pictures - if you get that far - don't look like 5 megapixel photos to me - not nearly so.<br /><br />7  The instruction sheet has a section entitled &#34;Setting time delay&#34;.  I think this is intended to denote &#34;setting minimum interval&#34; between photos.  Without a prescribed interval, the thing would go crazy snapping pix as fast as the hardware permitted..<br /><br />8. I am currently using the cam with the Moultrie 12 volt battery external battery pack.  I measured the current drain to ensure that, in fact, the power was coming from the external battery (it was).  I also measured the current drain.  When not busy, the current drain is negligible - in the low microamps.  When the device snaps a picture, current drain jumps up to about 50 milliamps for a second or two.  So it should remain operational for many days, if not weeks..	2015-08-25
US	15964769	R35CK5DO6YGVL0	B00VVRG9JM	267742765	Sportly Take Wing V Dart Set, 3 Brass Darts with Nylon PVC Shaft, Steel Tip Points with Smooth Flights, Ideal for Beginning and Occasional Players	Sports	5	0.0	0.0	N	Y	nice set of darts	Home recreational use, nice set of darts.	2015-08-30
US	4419275	R3GK7KDQ7HLJLL	B00K5B1382	894140051	Under Armour Hustle Backpack	Sports	4	0.0	0.0	N	Y	So far so good. My daughter loves it	No complaints. So far so good. My daughter loves it	2015-08-24
US	24013280	R1EX8YXWHWUK11	B002KFL2CI	645317942	Mako Group Mako Grip, fits AR Rifles, Black	Sports	3	0.0	0.0	N	Y	Three Stars	Mags extract hard now...really need to pull hard to get out..	2015-08-31
US	33354039	R11JS6BLUSH2TS	B00X65QH8K	58944940	Police Force Tactical Stun LED Flashlight 33,000,000 V Rechargeabel Three Light Modes & Taser Holster	Sports	4	0.0	0.0	N	Y	This seems like a real quality stun gun / flashlight	This seems like a real quality stun gun / flashlight.  I feel safer walking alone at night now.  Be careful not to blind yourself with the flashlight, though.  I think the strobe light feature would be enough to put any attacker off without ever having to use the stun part!  Very handy size, too.	2015-08-26
US	744616	R1NMK5HDPQHG8Z	B00DWES5VW	255263715	Women's NFL V-Neck Tee	Sports	3	0.0	0.0	N	Y	Cheap fabric. It held up for about 3 wears ...	Cheap fabric.  It held up for about 3 wears.	2015-08-25
US	34327353	R1NQTRQF9PUG8N	B004S3Q6Z8	990064658	"SILVER 420 DENIER TRAILERABLE JET SKI JETSKI PWC COVER FITS 2 and some smaller 3 SEATER JET SKIS UP TO 119"" IN LENGTH FOR YAMAHA, KAWASAKI, SEA DOO, POLARIS"	Sports	1	0.0	0.0	N	Y	Trash bag	Cheap construction	2015-08-25
US	21011128	RXZHLR00BIG5C	B00EW0V2EC	883748540	Perfect Fitness Rip Deck System	Sports	5	0.0	0.0	N	Y	Five Stars	cool!	2015-08-31
US	127157	R3PKWBSNO7CLU1	B004R1JW5C	252901622	Men's Ashworth 3rd Groove Performance Jersey	Sports	2	0.0	0.0	N	Y	Just did not like the feel of this shirt	Just did not like the feel of this shirt.  It fit big for a 3X.  I like the fit of Nike polo's, and this was bad choice for me!	2015-08-31
US	1643899	R3CY6YZ8PC0FNG	B006CV6870	908072776	Ringside Boxing Wrestling Fight Bell Ring Gong	Sports	4	0.0	0.0	N	Y	Four Stars	Great tone.....	2015-08-29
US	52416359	R2NBRYJI1K544M	B00KNBIF4E	499457275	Paracord Planet 10, 25, 50, and 100 Foot Hanks of 425 Paracord (3mm) Made of 100% Nylon For Tactical, Crafting, Survival, General Use, and Much More!	Sports	4	0.0	1.0	N	Y	like karate belts	I used 3mm cord for small tasks. They came as described and quick. They were a little stiff to begin with but became pliable so my kids could tie knots. I use them for my soccer team; like karate belts. As the kids progress in skill levels they get a colored paracord to tie to their backpack. They are girls so they braid them and love it.	2015-08-27
US	18367535	R1GE28DCU5RCMY	B00K22P86W	397389704	12-in-1 Headband - Versatile Sports & Casual Headwear - Wear as a Bandana, Neck Gaiter, Balaclava, Helmet Liner. Moisture Wicking Microfiber for Running, Yoga, Hiking, Travel. Lab Tested UPF 30	Sports	3	0.0	0.0	N	Y	Comfortable but Could be Better	Really like the color and feel of this buff. Am disappointed thought that the ends aren't soon. I am afraid that it will start to unravel. Hasn't yet. Very comfortable.	2015-08-29
US	41313709	R3ENECNKJM2Y1L	B007L3XRX6	183502075	Adidas Mens Athletic LAX Shorts	Sports	5	0.0	0.0	N	Y	Five Stars	Very comfortable!	2015-08-26
US	22081576	R5B9C4MFA7RLW	B00UCWPCL8	742275248	LANBAOSI Women's Multipurpose Summer Boardshorts Lace-up Beach Shorts	Sports	5	0.0	0.0	N	Y	They were a little big but not to bad	These are so cute, perfect for a young older Momma , I'm not quiet to old for bikini but yet have a 10 yr old boy who doesn't approve of to much skin. These are still cute and adjustable in the legs to be perfect in betweenness.	2015-08-30
US	33431800	R1CFGRSCT3TFU0	B00HAH6OGA	360315030	Moultrie P-150i Game Camera	Sports	1	0.0	0.0	N	Y	POOR QUALITY CAMERA	The camera would not hold the settings.  It would switch from still photos to video on its own.  Photos were not consistent at all.  We might get one decent quality photo and the next three were grainy/fuzzy/completely dark.	2015-08-30
US	10938315	R2SRA4QBRZFVIZ	B004CMRPQO	903104040	Polara Ultimate Straight Self Correcting 2 Piece Golf Balls	Sports	5	1.0	2.0	N	Y	They really do work. Have already bought more.	These balls really do work. For me, the 75% reduction in slices that they advertise is pretty dead on. I use an app that tracks me percentage of fairways hit vs. missed left or right and the difference exactly swapped. I was hitting the fairway 28.6% and going right 71.4% of the time. 9 days later and using one (first round I've ever played with just one ball) I hit 71.4% and went right 28.6% of the time. I just ordered 3 more boxes of these balls. My last round was completely enjoyable and the first time I've never cussed on the course. I usually shoot around 100 but shot an 88 today but it wasn't because of my drives or having a horrible lie off to the right, the extra strokes were due to my putting. I would recommend using a high dollar ball with feel for putting. At $18 a box, you can't afford not to buy these if nothing more than to actually enjoy your time out on the course.	2015-08-31
US	11793850	R9P1LWFZ4ZRV9	B00MMP3W1U	734909	Acreage Bullet Catch G-2	Sports	5	1.0	1.0	N	Y	Great target	Extremely well made, perfect target for home use.	2015-08-29
