marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	15881741	R23HFE1YXC0GW8	B00CE5NH90	695968241	"DROK&reg; Ultra Small 0.28"" Digital Car Automotive Battery Voltage Testing Meter Voltmeter DC 2.5~30V Yellow 5/12/24V LED Panel Display"	Tools	1	0.0	0.0	N	Y	Not as Specified	Minimum voltage is 2.8V, not 2.5V as advertised.  Useless for my project requirement.	2015-08-16
US	11837452	R1VL4L96PFQKMX	B000J43A7W	260747578	Kreg R3 Jr. Pocket Hole Jig System	Tools	5	0.0	0.0	N	Y	Five Stars	This is such a simple and fun tool	2015-08-27
US	41728071	R1V6VJJT8NS8UR	B002LA1EDO	866127818	CDI 1-Inch Drive Metal Handle Click Type Torque Wrench	Tools	5	0.0	0.0	N	Y	Five Stars	GOOD TOOLS	2015-08-31
US	12416170	R413RXZ6D2AG7	B0037UPC3K	877762531	Tekton 7646 Bike Hook Sets, 2/Pack	Tools	5	0.0	0.0	N	Y	Good quality.  As advertised	Worked like a champ in my barn hanging son's bike	2015-08-26
US	46264738	R16O80YB23Y5RJ	B00QUWSEYQ	590966096	Gladiator GAGP32K1DY Gear Track Deluxe Pack	Tools	5	0.0	0.0	N	Y	Five Stars	👍🏻	2015-08-13
US	26082847	R1N7AH7IZ29LYH	B0002VUQPG	339271634	Long-Reach Pick-Up Robot Garbage Gripper	Tools	5	0.0	0.0	N	Y	I originally bought one for my mom and played around ...	I originally bought one for my mom and played around with it before I gave it to her,  lets just say soon after I bought two more for my one use!  I'm very impressed with there're stability and craftsmanship.	2015-08-11
US	38895858	RJWS5OR8CE2II	B001T7F3KA	436233527	Streamlight Strion LED Flashlight without Charger	Tools	5	0.0	0.0	N	Y	good size (get a holster and you're all set)	Extremely bright, and battery lasts long.  Use the low setting when performing close-up work, otherwise the high setting will temporarily blind you.  Very durable, good size (get a holster and you're all set).  Love that it's rechargeable (also purchased an extra battery so I never have to worry about batteries or power).	2015-08-26
US	31444287	RXKZL6GXDA23M	B004A1IXRC	181367767	Gerber Gator Machete JR [31-000759]	Tools	1	0.0	0.0	N	N	GARBAGE	Beautiful. ....loved it till I used it...cheap thin soft metal...blade was destroyed after ine use	2015-08-08
US	30112111	R3J7YCOWRFDTB6	B00IYOMU6Q	987592202	Leatherman - Juice CS4 Multitool, Granite Gray	Tools	5	0.0	0.0	N	Y	Five Stars	Good price for a quality product.	2015-08-30
US	38876124	R1GZ0I75JA3AJJ	B000GYLCHK	847209372	Neiko Hex Bit Socket Set	Tools	5	0.0	0.0	N	Y	Perfect set for any mechanic	Perfect set for any mechanic! Love the plastic case and has all the sizes I needed. Great price and very fast shipping!	2015-08-14
