marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	32512928	RRGCNWVFPUIZ6	B00J09PZJ8	444544982	Animal Babies Deluxe Baby Chimpanzee Plush	Toys	5.0	1.0	2.0	N	Y	Five Stars	Adorable	2015-08-25
US	49261474	R1MG1I5F1MH9ZN	B0016ARXFS	8729608	POOF-Slinky My First Magic Set	Toys	5.0	0.0	0.0	N	Y	Five Stars	fantastic for a first magic set	2015-08-30
US	1992388	R3J5N0UV14Z9TF	B00NQQTXP8	441657307	Despicable Me Minion The Game of Life Game	Toys	3.0	0.0	0.0	N	Y	Fun but short game and not really a LIFE game.	My whole family was excited to play this game.  When we opened it up and started playing I figured out that there just not much to the game and the game plays out too fast.  Really not a LIFE game.	2015-08-31
US	989003	RXC755T2LIM7O	B00IUOBGD8	48963054	Funko Magic: The Gathering -Legacy Action Figures- Garruk Wildspeaker Action Figure	Toys	5.0	0.0	0.0	N	Y	This is a really great figure its super detailed	This is a really great figure its super detailed. Very high quality material and is pretty heavy. Joints were a little stiff at first but are much better now.<br />10/10	2015-08-29
US	43683119	R18I8MC3R4GM9M	B009Z7E8GG	525008747	Play-Doh Plus Color Set, NET WT 8OZ, 8-Pack	Toys	5.0	0.0	0.0	N	Y	Five Stars	Our grandchildren cannot get enough time playing with their Play Doh Sets.	2015-08-24
US	32904684	R1D08MGCJTHNHC	B00146I2WM	982317801	Melissa & Doug Deluxe Metal Wire Puzzle Storage Rack for 12 Small and Large Puzzles	Toys	5.0	0.0	0.0	N	Y	Five Stars	Looks great.  Love it!	2015-08-24
US	35314282	RC3NJ2ID05RWG	B004G8QNO4	103661581	Ravensburger Labyrinth Anniversary Edition Family Game	Toys	5.0	0.0	0.0	N	Y	Five Stars	Funny	2015-08-30
US	114943	RJAMSZ3GKNES1	B005WXPJYM	326950614	Washable Crayons/4-Bx, 1-Pack of 12	Toys	1.0	2.0	2.0	N	N	$5.25 for one box of four crayons ???	Description says 12 packages of 4 crayons and yet I have only received 1 box with 4 crayons in it a$5.25<br /> and shipping is a joke for 4 crayons. Hopefully this is a mistake and can be fixed as we were planning on these for my sons birthday goody bags.	2015-08-22
US	28276604	R2E612B0LVB50I	B000S0VQD2	761450012	Melissa & Doug Wooden Jigsaw Puzzle	Toys	5.0	0.0	0.0	N	N	Five Stars	These are the best	2015-08-31
US	37619857	R3HSTKGJZGHUBT	B00BN2JMG2	11548977	NuttyBuddy Protective Cup & Compression Short Combo	Toys	1.0	0.0	0.0	N	Y	One Star	Though I ordered 2XL, there is no way these compression shorts are 2XL - way too small and tight.	2015-08-25
US	14488932	R39AX0YSGGFEI2	B00Q43X3BA	481082648	12 Spider-man Super Hero Shoe Charms for Fits Croc Shoes & Bracelet Wristband Kids Party Birthday Gifts	Toys	1.0	1.0	1.0	N	Y	One Star	They fall out of crocs the black back isn't big enough	2015-08-24
US	44337728	RUTCWW9CWTPNX	B006VRLI5W	52443599	"Jellycat Woodland Babe Cream Owl, Medium - 12"""	Toys	5.0	0.0	1.0	N	Y	So soft and cuddly!!!!	Purchased this owl for my sister to give to my granddaughter-to-be-soon and my daughter-in-law loved it!  So cute and it can be used as part of baby's room!  Her room is decorated in the outdoor owl scene!  This owl scene means wisdom to my son and daughter-in-law!	2015-08-24
US	7036820	R2Y53HS6QV4YCC	B009SH8PS0	85769613	Fisher-Price Loving Family, Everything for Baby	Toys	1.0	0.0	0.0	N	Y	One Star	tiny and cheap not worth the price	2015-08-30
US	35247974	R3TZHJ3BVYO1N9	B002YIOA98	137423141	B. Times Square Activity Cube	Toys	4.0	0.0	0.0	N	Y	Four Stars	Excellent product that intrigues children.	2015-08-31
US	21696724	R1A4W9S167BIVE	B00SYIK3HK	438968967	Nickelodeon Blaze and the Monster Machines Pickle Core Vehicle	Toys	1.0	0.0	0.0	N	Y	One Star	Too small for the price!	2015-08-28
US	4502698	R1I2XQCYMFXWQ3	B00AFD59F8	550712413	"Pocoyó Shape Oversized 41"" Pocoyo Happy Birthday Party Fiesta Mylar Foil Balloon"	Toys	1.0	0.0	0.0	N	Y	Horrible got the balloon and it had so many holes ...	Horrible got the balloon and it had so many holes you couldn't blow it up.  Sad little boy great birthday	2015-08-26
US	110897	R1QJ78I8HIXG0W	B00DONM9UY	230775067	Pokémon Center Original Plush Doll Sitting Trick Pose Espeon	Toys	4.0	0.0	2.0	N	N	A Cute Sitting Espeon Plushie!	I bought this plush for my birthday over a year ago. This plush unfortunately took four to five weeks to get here, although stuff from Japan get delivered somewhat fast. I do love this plush, and I consider Espeon my favorite Eeveeloution next to Leafeon and Sylveon, but it was a lot smaller than I expected.<br /><br />This Espeon plush is soft, but not very soft, but I do consider her softer than the TOMY/Takara Tomy Pokemon plushies. This plush is Pokemon Center JP licensed, but it's not as soft as the other Pokemon Center licensed plushies (i.e. The Pokedolls and the Standard Size plushies.) She was designed fairly well, and looks alot like the Pokemon Center Standard Size 8&#34; Espeon plush, although that Espeon plush was larger and the fabric used on the plush were much darker. Like I said, I thought this plush was going to be larger than I got it.<br /><br />This plush is very cute after all, being durable and all. I would recommend this to any Eevee/Espeon/Feline Pokemon fan. (NOTE: If you are going to order this plush from China, the plush shown in the image does not look like the one that they send. I would recommend buying this plush from a Japanese seller if you don't want to be blown off.)	2015-08-29
US	9914207	ROYGYGT2S7QC4	B00U5V9384	692119038	NECA 1/4 Scale Figure Superman (Reeve) Action Figure	Toys	5.0	0.0	0.0	N	N	Super!	Didn't buy this on Amazon but, I felt I should leave a review of it here anyway. I highly recommend this to the collectors out there. Top notch articulation, sculpt and paint. Looks just like Christopher Reeve. The box art is great as usual as well. A+++	2015-08-25
US	8643079	R1CIHJV8W90K6Q	B005JFNE8G	420654286	Cards Against Humanity: First Expansion	Toys	5.0	0.0	0.0	N	Y	This expansion pack I like, it's the others like 4 or 5 that ...	This expansion pack I like, it's the others like 4 or 5 that are not great. They must have run out of ideas.	2015-08-29
US	15211039	R88NM8CF3ZHHK	B005E1F63G	290221505	Replacement Tuner for the Music Maker	Toys	5.0	0.0	0.0	N	Y	Five Stars	Exactly what I wanted.	2015-08-29
US	15986509	RPP4OCOK1IIKM	B004I6B65A	207783045	Ultra Pro Magic the Gathering: MTG Mana Magnetic Flip Box (Deck Box / UPR86108) Black	Toys	5.0	0.0	0.0	N	Y	Five Stars	Everything was as promised.  Thanks!	2015-08-30
US	30851849	R1WEZWNX4OVF0Z	B00TE8YDF2	289406505	Inside Out Small Plush, Disgust	Toys	5.0	0.0	0.0	N	Y	Five Stars	Arrived fast and as described.	2015-08-28
US	6798869	R2XIWZRNQMBUK	B000O3PZ1M	375802666	Daron Giant Wine Glass	Toys	3.0	0.0	0.0	N	Y	just the right size	I got this as a x-mas gift for my sister and she fell in love it it. It really is big. It was just as described. The only problem is it is not really strong material so it ended up breaking pretty easy. It was good while it lasted but you just have to be super careful with it. If i were to buy one again i would look for one that would not break so easy.	2015-08-31
US	19553275	R1MV2X5VKH617O	B00BQF1IP4	52762933	Little Kids Teenage Mutant Ninja Turtles Shell Water Blaster	Toys	5.0	0.0	0.0	N	Y	Five Stars	Great water gun	2015-08-29
US	42138858	R1RYDP3NMG4CQV	B00K77O2T6	848147852	Disney Frozen Memory Match Game Styles Will Vary	Toys	5.0	0.0	0.0	N	Y	Five Stars	My daughter loves this game. It's made well and she is thrilled with the pictures.	2015-08-29
US	5396031	RHV3H6DBKWUQ3	B00CRMTEN8	283410337	Despicable Me Minions	Toys	5.0	0.0	0.0	N	Y	Five Stars	Good	2015-08-26
US	2511477	RLRXDEZJLCWCM	B0054TRQ2M	456133466	Aurora World Inc 10 inches  Feggan The Fox Dreamy Eyes	Toys	5.0	0.0	0.0	N	Y	love this cutie	shipping was fine, no complaints. bought this for my sister for christmas because she loves foxes. i was trying to find a fox stuffed animal that is in the ty beanie boo brand because i love them as they're just adorable, but at the time, ty didn't have any foxes available anywhere - they hadn't been made yet. so, instead, i tried looking for a stuffed fox similar to that style and the closest i found was this. it's not exactly like it, but it's close and it's still very cute. it's super soft and fluffy and you can make it sit or lay down. it's very cute and my sister loves it so we're all happy with the purchase.	2015-08-24
US	31424138	R3OJGJ1MVBWH0T	B00GOYGFQO	104776028	"Jellycat Blossom Heather Puppy - 12"""	Toys	5.0	0.0	0.0	N	Y	Five Stars	So incredibly soft,  daughter loves it	2015-08-26
US	42839360	R1H005OAACWPAN	B000N5QNSK	200958434	Battat Take-A-Part Airplane	Toys	5.0	0.0	0.0	N	Y	Great gift for reasonable price..	Gave this as a gift to my toddler friend. I see his mom constantly saying he just loves it and spends so much time on it. Even has to fight over it not to take to school. Looking for a gift for a toddler then get this..he will love you!	2015-08-25
