marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	1278908	RDKNM8C9DLD71	B00GLIPNXE	982842691	Xbox One Special Edition Halo: The Master Chief Collection 500GB Bundle	Video Games	5	0	0	N	Y	Five Stars	It work great shipping was fast	2015-08-02
US	20974146	RMHF77FKGHVAO	B00ICWO2CA	879942807	The Sly Collection - PlayStation Vita	Video Games	5	0	0	N	Y	Sly Cooper is such a great game and to get 1-3 at a great price is even better.	Three great games one price	2015-08-23
US	35703201	R2PR5HH0HC19SW	B00G358AIA	973761315	xcm ii Case (HOT ROCK CASE)-the replacement case for wii console	Video Games	5	0	0	N	Y	nice buy for mods	pros<br />light are cool as show lights<br />thermometer on it is neat<br />easy assembly<br />con<br />gets hot when lights on but its manageable	2015-08-31
US	43080736	R3KQ7GVPT3DEZI	B00D6JBZBK	805213091	Turtle Beach Ear Force Z22 Amplified PC Gaming Headset	Video Games	1	1	1	N	N	BUYER BEWARE! Do NOT buy!	This is one of the worst investments you could make.<br /><br />Okay, I don't actually remember when exactly I bought these, but I wanna say it's been a good 2-3 years. At first, the sound and the mic both worked correctly. There were issues with getting some of the functions to work correctly, such as making chat volume adjustable on the amp that came with the headset, and other things of that nature. Now, I'm not technologically inept. I've built my last two computers, and I'm more than able to install devices, update drivers, etc. At any rate, I didn't care too much because the headset itself worked, with pretty good sound, and the mic worked and was decent.<br /><br />Then, maybe a year or so after having it, I built a new computer, and the mic stopped working. Believe me when I say that I tried everything. I tried finding drivers on the official site, unofficial sites. I tried using every USB port on my system (even though other devices worked perfectly fine). I tried looking up solutions on message forums and such. I even messed around with settings in my Bios. Nothing. I probably kept using the headset for well over a year without a working mic, just because I was too broke to get a new one (after all, the headset's sound still worked). You can see from many reviews that Turtle Beach will deny all responsibility and say the problem is on your end. So after some brief interactions, I no longer bothered with them. But do let me make it abundantly clear that I have NEVER had a single device, before or since, that wouldn't work on this computer, which I've now had for over a year. That includes my new headset that I just got today (different company of course), webcams, game controllers... just about anything you can think of. And that's considering I'm now on Windows 10. Still no issues with any other device.<br /><br />I am never, and I repeat NEVER, buying a product from Turtle Beach again. If anyone asks me about them, I will warn against buying from the company. I suggest you do the same. Do not buy these. I don't know if I'm allowed to make a recommendation for another headset on here, so I won't, but there are actually good ones out there. Please read the other recent reviews of the multitude of people without a working mic or sound for no good reason.<br /><br />Once again, DO NOT BUY.	2015-08-20
US	732259	R3GRE1CIUVOJ1P	B00DHF39HQ	32807762	The Elder Scrolls Online	Video Games	5	1	2	N	Y	Five Stars	Good game	2015-07-28
US	42562041	R1C5TC5RYRCKP1	B010B6EKVC	375499210	Nintendo Amiibo	Video Games	5	1	2	N	N	One of the best exclusive amiibo releases.	Great job on this release Amazon. It was the nicest, and cleanest release for an Amiibo exclusive I have seen. Very little fuss.<br /><br />Also you really redused the number of scalpers on this one.	2015-07-25
US	18830174	RAKJAADR9VFGZ	B00006N5T8	295842574	GameCube Controller Platinum	Video Games	3	0	0	N	Y	Three Stars	Was in a fairly good condition but left stick defaults slightly left instead of center	2015-08-22
US	45713391	R2IJOB3AETN89K	B001TOMQOY	430428963	Army of Two: The 40th Day	Video Games	5	0	0	N	Y	Five Stars	Awesome game! Too short tho :/	2015-07-19
US	11712667	ROC92R18VV35Q	B00MEWBFII	706804989	Black Carbon Fiber Hydro-Dipped Custom Controller Shell for PS4	Video Games	5	0	0	N	N	it is so good, made my controller look awesome!	Its  great product!	2015-08-28
US	28011746	R1O2RBHAQPOH0G	B001DL7CFG	366468255	Coffin Case Stick & Mic Case	Video Games	4	0	0	N	Y	Cool case. I only use it for sticks	Cool case. I only use it for sticks. It holds around 8 pairs. Only reason why I bought it is cuz it looks cool.	2015-07-30
