marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	21978580	R230NKOCOXEDJG	B0009A30K8	189241859	The Day The Earth Stood Still	Video	5	1	3	N	Y	Excellent mowie	Excellent Thank you it was great movie.  I did not need copy, since I recorded on my DVR.<br />Thanks again	2013-09-02
US	45916598	R1WNXO8A9CI5UR	B0000064K0	410105571	The Music Box/Helpmates (Colorized) [VHS]	Video	5	0	0	N	Y	Terrific	It was more than I expected.........Great!!	2015-02-09
US	3889600	R3L5BAVQL5N3SD	B000059PRU	892201407	Bump in the Night - The Hubbish About Rubbish [VHS]	Video	5	0	0	N	Y	Five Stars	what's not to like & laugh about with Mr. Bumpy....	2015-08-25
US	2998777	R2UZK4RCDD5JS	B000BD730G	588941118	Bringing Up Baby	Video	5	0	0	N	Y	Five Stars	Product arrived on time; was as expected.	2014-12-20
US	51881906	R1417F6U5RTQUM	6302730015	550642728	Miss Rose White (Hallmark Hall of Fame) [VHS]	Video	5	2	2	N	N	Uncovering The Meaning of Family	"The way this movie blossoms onscreen it simply takes you by the nose, awakening many memories of family flavors past and present. Though its unthinkable to compare the challenges the holocaust put on surviving families, in this engaging movie you see the familiar faces of family dealing with shame and guilt, anger and forgiveness.  The heavier the burden the stronger the will to resolve, and in \\""Miss Rose White\\"" it seems everyone is strongly forced to reolve issues they've carried inside so long.<br /><br />The acting is incredible.  As I always mention about great movies, the real juicy parts are hidden in the silent pauses in between character exchanges.  Amanda Plummer and Maxmillian Schell are as believable in their hurt and anger as any, and Kyra Sedgwick gives a very convincing performance discovering family secrets. And we are there with her every step of the way.  This is a movie of transformation, so be ready to confront any family issues you might be carrying around. Again, I don't think any of our family issues today can compare to a jewish family's reuniting after the holocaust, but as families we all share in what it means to confront the pains a family shares within its own circle. Shame never takes a holiday!"	2013-03-29
US	26780626	R21USI5AJEUHDV	6301436520	760830562	No Holds Barred [VHS]	Video	4	0	1	N	Y	NHB	Whatcha Gonna do when the Ripper comes for you? pray and eat your vitamins Hulksters. awesome movie but why didnt they just have him be himself instead of Rip?	2013-01-30
US	19132211	R3SFXCXXGA8ULH	B000SPLI4Y	341145769	Jealousy: The Green-Eyed Monster Whose Eyes Turn Red	Video	5	0	0	N	Y	Five Stars	So true and very well explained	2015-01-14
US	10243781	R5YKHQ4HFBLDC	B00000692T	565335432	Victor Victoria / Movie [VHS]	Video	5	1	1	N	Y	They say that Paris has always been that way!	How wonderful! This is another item that one should never be without. It will cheer you up on that rainy day. Never misses. The re-issue of the 1982 soundtrack has the song Gay Paree. It was unfortunatly left off the original album. It is totally missing from the new Broadway soundtrack. Someone needs to come to their senses. The Music Man Robert Preston knocks everyone over with his performance of Toddy. There's nothing like an old queen with a head cold. That Andrews lady is okay,too.	2012-07-13
US	22478173	R1KJ3442P1EWTB	6302676886	762186060	Country Line Dance Aerobics [VHS]	Video	5	0	0	N	Y	Five Stars	Excellent product & seller!!!!	2015-05-17
US	22073263	R27EOHYJ302R1H	6302658500	721277386	Coquette [VHS]	Video	4	1	1	N	N	Mary Pickford carries her first sound film	"Coquette is a rather interesting film and with some of the not so positive reviews here I wasn't sure what to expect. Happily, I think Mary Pickford did a splendid job of acting her heart out; and the others performed very convincingly, too! The choreography works well especially in the dance hall scene but the cinematography and dialogue was a bit \\""creaky\\"" as is the case with many early talkies. As I watched the film certain long sequences all on one stage gave it the feel of a stage play but the plot and the acting are both so good that this is not a major problem. The musical score, while not extensive since this is certainly no musical, enhances the film and there's plenty of suspense as well!<br /><br />When the action starts, we quickly meet a few members of a wealthy family living somewhere in the south at the time this film was made. The patriarch of the family, Dr. John Besant (John St. Polis), cherishes his old fashioned Southern ways and pride. Unfortunately for Dr. Besant, however, he's becoming concerned about his very flirtatious daughter Norma (Mary Pickford). Norma has the chance to date practically any man in town because she is so attractive; she has no problem finding dates! Stanley Wentworth (Matt Moore) is a one good choice for Norma to date but Norma far prefers and desires the rather hot-headed, ne'er do well Michael Jeffrey (Johnny Mack Brown). But things become complicated: John Besant can't stand even the idea of Michael dating Norma and it isn't long before the two hot headed men clash. Not only does Dr. Besant want Michael away from his daughter Norma, he even wants Michael out of town--for good!<br /><br />But what Dr. Besant doesn't know is that Michael plans to turn over a new leaf, work hard at a new job to get enough money so he and Norma can marry and start off at somewhat comfortably and respectably! This relatively innocent goal leads to a series of unexpected and tragic events. The rest of the film shows how all of the issues play out.<br /><br />Look also for solid performances by Louise Beavers as Julia, the maid; William Janney as Jimmy Besant; Henry Kolker as Jasper Carter and George Irving as Robert Wentworth.<br /><br />Coquette not only tells an attention-grabbing story; it proved Mary Pickford could carry a talking picture. I highly recommend this film for fans of Mary Pickford and the other actors in it; people who enjoy classic dramas will not be disappointed either.y out.<br /><br />Look also for solid performances by Louise Beavers as Julia, the maid; William Janney as Jimmy Besant; Henry Kolker as Jasper Carter and George Irving as Robert Wentworth.<br /><br />Coquette not only tells an attention-grabbing story; it proved Mary Pickford could carry a talking picture. I highly recommend this film for fans of Mary Pickford and the other actors in it; people who enjoy classic dramas will not be disappointed either."	2013-05-29
US	32708283	RBZC4VSX494BG	B00004SYM2	562213394	The Drills Video [VHS]	Video	5	1	1	N	Y	Great for coaches	This was vry helpful when I started coaching middle school fast pitch softball.  You have to run drills to keep the kids engaged during practices.	2013-01-23
US	20050663	R1AVOFJKR03JC5	6302787513	238052019	North and South Book I (VHS, 6 videos)	Video	1	0	1	N	Y	wrong product	received episode 1, should have been Book I of  North & South (VHS 6 Videos) Please send the other videos!	2013-04-17
US	42998793	R19G5EPPJR8T7H	6302033977	430249106	Savage Streets [VHS]	Video	5	0	0	N	Y	just what i was looking for	Was looking for this for years.	2015-04-05
US	45773873	RR4KKZ2NDNXOD	6303955940	14207835	The Colony [VHS]	Video	5	0	0	N	Y	Great Movie	This is a really good movie to add to your collection.  I have watched it over, and over again.  Highly recommend!	2015-07-20
US	2402009	RWNFXULX2VZA	B0007WLRAI	259396641	Ray Floyd's Cuttin Strokes	Video	1	0	0	N	Y	cantwatch videos jump all over the place very	cant watch videos jump all over the place very dissapointed	2014-08-29
US	48090262	R2GLOPUENS2MLY	6302054028	110275406	Almost an Angel [VHS]	Video	5	0	0	N	Y	Great movie was a promt delivery	The movie was great .I saw it before and loved it and the actors in it a great theme and touching ending .	2013-12-27
US	43932391	R1QULJSPRO7JDF	6301257014	542293707	Son of Frankenstein [VHS]	Video	3	1	1	N	N	Interesting ideas, but lackluster execution	"Son of Frankenstein is one of those films that have such peaks and valleys, you often wonder if the director and writers honestly understood what they were making. The high points are without question those scenes with Bela Legosi. Without the Igor character, this film is absolutely lost for a villain, a plot, or even a moment of atmosphere. Bela's Igor nicely fills in the story gaps by providing a character that offers a mysticism to the events between Bride and this story. He is the bridge of reason which allows us to at least accept, in part, the circumstances that permit the Frankenstein monster to be sustained and well kept after all these years. But the story set up is substantially lazy in it's execution of these events. Even worse are the placement of key iconic locations in the story.<br /><br />The once remote ruins of the watch tower have now been conveniently moved into a oddly scenic view from the Mansion's estate. Kind of like a wrecked gazebo with a Jacuzzi hot pit for environment. Since so much time has passed and Victor Frankenstein has just recently died, it really leaves one confused about what he did since he lived to old age. Did Victor give up his search for eternal life and move on or just become a recluse and sit in front of his picture window and stare at the remains, never knowing his creation still lived inside along with a new tenant? And how did his remains come to sit in a tunnel that was presented as something of a secret to the ruins? Did the support staff bury him there? And who within the village would know of this location and retain the balls to come in and vandalize his crypt given the nature of mysterious murders occurring during that time and the monster who laid nearby? So it's a very odd set up to establish this story.<br /><br />For me though the weakest link is the son himself played by Basil Rathbone. This is the point where I look to the director and just collectively throw up my arms and cry, \\""What?!\\"" Basil's performance is borderline camp. His over-the-top reactions to any question asked by the local inspector would have set off a four alarm fire. He shows more guilt than your standard border collie and doesn't seem to possess any skills that would suggest he would have the knowledge to restore the monster let alone understand what he's looking at. His emotional range bounces from irrational happiness to utter despair, with a massive dose of paranoia thrown in throughout. I can never accept for one minute this is a real character, let alone the son of Victor Frankenstein. Perhaps Victor's death was a suicide?<br /><br />The sets while imaginative in places sometimes fall well short of being believable. The supposed mansion/castle never feels like a real structure. Every room looks like a movie stage. The stairs look like they were constructed just that morning for the scene and there's a sterile feel and echo to the surroundings that betrays any suggestion the characters reside in a comfortable old home. The watch tower retains too much of it's structure given we saw it crumble to it's foundation at the end of Bride, but I accept that as artistic license to move the story along. Perhaps Victor was rebuilding it for nostalgia?<br /><br />So this really leaves us with the two best parts of the film - Karloff and Legosi. While it's easy to see why Karloff ran from any future projects after this one, he certainly gives it his all and tries to bring depth to a character written more as a prop than a conflicted creature filled with questions. His updated grizzly vest gives him a nice look that enhances his presence measurably. His makeup is once again done well, but also starts what I painfully call the monster mole on his right lower cheek. I'll never quite understand the purpose of that since in previous installments they were just shading that area to enhance the sunken features in his face. Now the makeup is darker and is decidedly a character of it's own. It's confusing and I'll never understand what the rationale was here or why other makeup artists followed. I wonder if that's copyrighted?<br /><br />This leaves us with Legosi and his Igor character. This is truly a film where Bela not only steals the show, he saves it. He completely disappears into the role and gives the whole film it's mood and creepiness. If ever there were an argument demonstrating Bela's versatility as an actor, this is it. He does an exceptional job in holding scenes together and commands those moments even when sharing it with Karloff. It's a shame Hollywood did not recognize this and put him in better projects.<br /><br />So between Bela's performance, Karloff's effort to resuscitate an empty script, and a few iconic moments like the monster being kicked into the molten rock pit, the movie manages to retain enough dignity to stand up on it's own as a unique, but horribly flawed installment. It's also a good example of how quickly you can find the bottom for a film if a good script and direction is not part of the an excellent cast.ver understand what the rationale was here or why other makeup artists followed. I wonder if that's copyrighted?<br /><br />This leaves us with Legosi and his Igor character. This is truly a film where Bela not only steals the show, he saves it. He completely disappears into the role and gives the whole film it's mood and creepiness. If ever there were an argument demonstrating Bela's versatility as an actor, this is it. He does an exceptional job in holding scenes together and commands those moments even when sharing it with Karloff. It's a shame Hollywood did not recognize this and put him in better projects.<br /><br />So between Bela's performance, Karloff's effort to resuscitate an empty script, and a few iconic moments like the monster being kicked into the molten rock pit, the movie manages to retain enough dignity to stand up on it's own as a unique, but horribly flawed installment. It's also a good example of how quickly you can find the bottom for a film if a good script and direction is not part of the an excellent cast."	2014-10-29
US	26781712	R2TV9A7HPWEZYM	B00028G6IA	805999773	Cheech and Chong Perform [VHS]	Video	3	1	1	N	Y	Historically great and about the only way to see them in their early form!	"\\""Cheech & Chong Perform\\"" is show 1 from a two show night at Spanky's club. 'Cheech & Chong Perform Again' from show 2 is the other VHS or Beta tape you can get and combine with \\""Perform\\"" to have all the skits they performed in an entire show back then.<br /><br />Historically it's great showcasing Cheech & Chong's raw talent on stage live where anything can happen. Their cheap props are some funny stuff all by themselves! They mention their new movie coming out (Up In Smoke) and that they won't have to be doing their live act much longer.<br /><br />What can you say about Cheech & Chong if you we're into their albums from the 70's this live performance is some of that material but in a live club setting.<br />You either 'got them' or you didn't, that simple!<br /><br />Visually it's just an older type video camera but they do zoom in and aim the camera at assorted people in attendance. It's amateur style and not a big budget production.<br /><br />The color is washed out but it's a by product of the low end camera and not from age or tape damage. There's an occasional dropout here and there with lines running across the screen but not enough to get one up in arms over it all. It's over in seconds. I suppose bad tracking or connection via the camera/video tape machine's fault.<br /><br />If you ever wanted to see the duo live back then and missed out this and 'Cheech & Chong Perform Again' are the only legitimate exsisting media I know of available from their live act days.<br /><br />The real down side to going after one of these is 1) The crazy prices these are fetching these days and, 2) You really need the 'Cheech & Chong Perform Again' tape also as a companion to this one to get all the skits from an entire performance. It's not cheap either if you can find one!<br /><br />It's very possible to spend upwards to $400+ at the current prices for these two tapes if you just have to have them both.<br />I managed to get both VHS tapes for less than $100 here on Amazon so if you're patient it could pay off. Not sure how rare these are getting these days though?<br /><br />So with that in mind beware that you are going to get less than standard VHS quality because this was not filmed with high end type movie cameras just older video cameras of the day.<br /><br />If you can't find or afford these expensive tapes I also suggest watching the skits on YouTube that's a great alternative if you don't want to put out that much money for these things. It will also give you a chance to see first hand the quality that I refer to in this review. Could be a deciding factor for you?<br /><br />My 3 star rating has more to do with visual quality and not so much content. Had this been filmed properly with multiple high end cameras and more professional direction it would easily be 5 stars.<br /><br />They do some of their early live set on the ending of 'Still Smokin' movie but the Perform tapes are the only real way to see a raw, complete, early and rare Cheech & Chong performance.<br /><br />Dave's Not Here!!<br />MAD"	2013-08-13
US	32400706	R1ABZ78WUROIQ9	B00003M5HW	437849548	Tom and Jerry's Greatest Chases [VHS]	Video	5	0	0	N	Y	Five Stars	Great!	2014-12-17
US	10203023	R2NRQ5A34OJ41Y	6303359299	25179639	Eat and Run [VHS]	Video	5	0	0	N	Y	Five Stars	nice	2014-12-25
US	25925135	RB7P42BH1997H	6305385920	392905299	Two Fat Ladies Box Set 5pk [VHS]	Video	5	0	0	N	Y	Five Stars	i have always enjoyed this show. will be sending for all other seasons	2015-04-07
US	14934785	R1DPEP2K9E514U	B00008V61T	755319848	Children Of Dune (EP) [VHS]	Video	1	0	1	N	Y	not good!	The tape was off track and jumpy, not good!	2014-10-14
US	13097612	RTAR27TVVSIY0	6305050023	250091085	Twilight [VHS]	Video	5	0	0	N	Y	Five Stars	Excellent	2015-08-05
US	3074535	RQNC4RCT99S11	6304960670	937096043	The Legend of the 7 Golden Vampires [VHS]	Video	5	0	1	N	Y	Five Stars	Happy we did business together and I am pleased all the way around!	2014-10-30
US	45035863	R3TQCLE0T6WKVC	6303671772	623710613	Gargoyles Vol 2: The Force of Goliath [VHS]	Video	5	0	0	N	Y	Well Done	My kids love the Gargoyles series. It is well done, and the story lines are great too!	2014-12-04
US	13738539	R17N4Q2BAZMOI1	6303917224	317360182	Puppetoon Movie [VHS]	Video	1	1	4	N	Y	BORING, If you're expecting Gumby forget it, only a small appearance	I did not enjoy this what so ever, from the cover I was expecting Gumby & Pokey and animation as such but that is NOT what you'll get in this compilation of so called toons. Very misleading to consumers, I've always frowned on such deceptive actions to sell a movie. I gave this to my niece and nephew thinking they might enjoy it,...well... after about 15 minutes of it they both got up and said it was awful & they did not want to watch it anymore. So now I knew,.. it just was not me that felt this way. I love kids because they are so truthful and speak their minds. These are extreme early works of George Pal & sorry to say that, &#34;I am not a fan of his early works but of his later creations&#34;. If you're into really old & odd looking geometric shapes then this is for you. To me, these ARE NOT George Pal's greatest creations and find all on this compilation disappointing.	2014-02-24
US	36953990	R18EHNLS1PWTLZ	B000035Z2S	858189095	Tarzan (Walt Disney) [VHS]	Video	5	0	0	N	Y	tarzan vhs	the tarzan vhs was perfect.product arrived very early which is excellent.thanks for selling one of disney's wonderful vhs tapes thanks	2013-02-08
US	20559444	RVLKDV9YUAUBN	6302000483	644161623	The Jeweller's Shop [VHS]	Video	4	2	2	N	Y	"The Jeweler's Shop (subtitled ""A Meditation on the Sacrament of Matrimony)"	Since my having enjoyed viewing it 3'09, I recall its resonating with values of my Polish Catholic upbringing<br />after being born shortly after World War II began September 1, 1939, in Poland.	2013-12-06
US	40937084	R3734YLATHO9KJ	6303558917	276066227	Murderous Vision [VHS]	Video	5	1	2	N	Y	Scary Murders	Bruce Boxleitner is my favorite actor so I admit I am inclined to like most anything he is in and this was no exception.  I enjoyed the suspense and even the &#34;spookiness&#34; of it.  If you are a Criminal Minds fan, you would like this movie.	2013-05-22
