marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	49419185	R3VVSPL45KA9T4	B00BASRZE0	611912841	Calvin Klein Women's K3Y2M11F 'Dress' Black Mother of Pearl Dial Stainless Steel Bangle Swiss Quartz Watch	Watches	3	2	2	N	Y	Nice looking - not comfortable	I love the look of this watch. It is a little larger than I thought it was going to be. It is not easy to get on and off. I was very surprised that the watch is not very comfortable it fits very tightly on my wrist and I have a small wrist. I normally have to take out a least two links on a normal watch band. If you have a large wrist this is not the watch for you. I am keeping it because I got a good price and like I said I love the look.	2015-07-30
US	47010310	RUMA9J81M01L5	B00J4JKPBC	291192287	Invicta Men's Pro Diver Japanese Automatic Watch	Watches	5	0	0	N	Y	I very much enjoy this watch	I very much enjoy this watch. It is a heavy, substantial watch that looks terrific. I was surprised to learn it is movement-wound and stops running and has to be reset after less than a day of idleness. Unless you wear it every day, be aware you will need to buy a watch winder, which I did, if you don't want to be resetting it every time you wear it.	2015-08-22
US	15279150	R7LPVDRGCHDMQ	B0014X45YY	371814343	Paylak UNIKEY-1E Even Sizes 5 Prong Universal Clock Key for Winding Clocks	Watches	5	0	0	N	Y	Great versatile key	Great key. Works well and does exactly as it should. Solid Construction.	2015-08-31
US	17028238	RMP1ORVSQ39FP	B0106S12XE	492048254	Skmei S Shock Analog and Digital Sports Watch Green Color	Watches	5	0	0	N	Y	Five Stars	Love these watches. A genuine bargain .	2015-08-19
US	45491297	R1298YFGKGHE4O	B00359FJ5Y	777340240	Invicta Men's 6713 Sea Spider Collection Chronograph Black Ion-Plated Stainless Steel Watch	Watches	5	0	1	N	Y	Love Invicta	Love it, a real piece of art.	2015-07-25
US	33767842	R2CWGF4VA81K7V	B00QIJ6XEO	576494764	Timex Men's Expedition Camper Watch	Watches	3	0	0	N	Y	Three Stars	It doesn't look very good but it is efficient.	2015-07-22
US	33926209	R20AOH4IYRY5RC	B00480KVPC	863790059	Philip Stein Women's F36S-WM-G Fruitz Watch	Watches	5	0	0	N	Y	Very Happy	Fast shipping.  Great watch.	2015-08-20
US	28958827	R2VBEW2UACGM4B	B007BL4RUU	141431120	Vernier Women's Extra Long Leather Wrap Strap Watch	Watches	5	1	1	N	Y	Excellent!	I love my vernier watch.<br />Great price for this lovely watch!<br />See for yourself😍	2015-07-16
US	32853999	R5WE952NS7S6C	B000GAWSHC	135651749	Casio Men's MQ24-1B3 Watch with Black Rubber Band	Watches	5	0	0	N	Y	Love this little time keeper	Love this little time keeper. Had one before this one and I have always wanted to another after it unfortunatly broke. Can't beat the price.	2015-08-27
US	23244365	R3D3ZZLV799PMF	B001AS6OGA	314741088	16 PCS Watch Tool Kit	Watches	3	0	0	N	Y	but the build quality is pretty cheap, doesn't feel sturdy in your hands	I have really only used this to adjust a bands and change batteries. Does the job, but the build quality is pretty cheap, doesn't feel sturdy in your hands, a bit like your playing with a toddlers toy set.	2015-07-27
US	52430501	R2ERWXMHCXF4NE	B006P7S9LO	272718369	Nato Watch Band 20mm Heat Sealed G10 Nylon Polished Buckle - Navy	Watches	5	0	0	N	Y	Five Stars	Exactly as expected	2015-07-22
US	742876	R1M7S7PGBQ9UDS	B00FY5HMF2	575109699	Ikee Design Deluxe Classic Watch Collector Case Box for Large Watches with Key Lock, Clear Glass Top and 5 Watch Holders	Watches	4	0	0	N	Y	Great way box for the price	Great way box for the price. Wasn't sure what to expect because watch boxes can run upwards of a hundred dollars, but the quality of this one is the same you would expect buying in Macy's or any other large retailer. Highly recommend.	2015-07-26
US	113687	RV4MCUXZ5Z037	B00DR7S5AU	421012841	Mirror 3 Dials Digital LED Sport Cool Silicone Wrist Watch	Watches	1	0	0	N	Y	One Star	Mine showed up cracked and with no directions. Do not buy	2015-08-25
