Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
492216,20871,OPULENT VELVET SET/3 CANDLES,18,2009-12-15 17:25:00,1.25,15641.0,United Kingdom
490137,20728,LUNCH BAG CARS BLUE,6,2009-12-03 19:22:00,1.65,14713.0,United Kingdom
C489459,90200E,GREEN SWEETHEART BRACELET,-3,2009-12-01 10:44:00,4.25,17592.0,United Kingdom
490394,79323W, WHITE CHERRY LIGHTS,4,2009-12-05 16:01:00,5.45,17850.0,United Kingdom
492728,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,2,2009-12-18 11:18:00,1.25,15311.0,United Kingdom
493073,84705B,FAIRY CAKES PHOTO FRAME,1,2009-12-22 09:41:00,9.52,,United Kingdom
490279,22107,PIZZA PLATE IN BOX,1,2009-12-04 12:37:00,3.75,16891.0,United Kingdom
494001,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-01-10 14:21:00,3.95,13319.0,United Kingdom
489798,21115,ROSE CARAVAN DOORSTOP,2,2009-12-02 12:22:00,6.75,13740.0,United Kingdom
492425,21889,WOODEN BOX OF DOMINOES,2,2009-12-16 17:58:00,2.57,,United Kingdom
493074,22244,"HOOK, 3 HANGER ,MAGIC GARDEN",2,2009-12-22 09:45:00,4.3,,United Kingdom
492593,20952,PORCELAIN CHERUB BELL SMALL,1,2009-12-17 15:44:00,0.42,15917.0,United Kingdom
489875,21181,PLEASE ONE PERSON  METAL SIGN,1,2009-12-02 15:41:00,2.1,17841.0,United Kingdom
489569,22154,ANGEL DECORATION 3 BUTTONS ,48,2009-12-01 13:20:00,0.42,14478.0,United Kingdom
490951,90190C,SILVER/AMETHYST DROP EARRINGS LEAF,1,2009-12-08 14:36:00,2.95,,United Kingdom
491833,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,2009-12-14 14:35:00,1.65,12926.0,United Kingdom
490676,15056BL,EDWARDIAN PARASOL BLACK,6,2009-12-07 13:17:00,4.95,17850.0,United Kingdom
492249,22054,MINI CAKE STAND HANGING HEARTS,8,2009-12-16 10:39:00,1.65,16366.0,United Kingdom
490400,85151,WELCOME METAL SIGN,4,2009-12-06 10:41:00,1.25,16104.0,United Kingdom
490372,21257,VICTORIAN SEWING BOX MEDIUM,2,2009-12-05 12:13:00,7.95,17115.0,United Kingdom
489870,21989,PACK OF 20 SKULL PAPER NAPKINS,40,2009-12-02 15:16:00,0.85,15523.0,United Kingdom
490715,22158,,-30,2009-12-07 15:27:00,0.0,,United Kingdom
489536,85227,SET/6 3D KIT CARDS FOR KIDS,1,2009-12-01 12:13:00,0.85,16393.0,United Kingdom
490669,21754,HOME BUILDING BLOCK WORD,1,2009-12-07 12:42:00,5.95,15716.0,United Kingdom
490483,22186,RED STAR CARD HOLDER,2,2009-12-06 12:52:00,2.95,13782.0,United Kingdom
491662,85066,CREAM SWEETHEART MINI CHEST,2,2009-12-13 11:16:00,12.75,15169.0,United Kingdom
492869,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2009-12-21 11:51:00,3.95,15039.0,United Kingdom
491966,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2009-12-14 17:16:00,2.57,,United Kingdom
492425,82578,KITCHEN METAL SIGN,1,2009-12-16 17:58:00,1.3,,United Kingdom
492168,21159,MOODY BOY  DOOR HANGER ,24,2009-12-15 14:34:00,0.38,13823.0,United Kingdom
492414,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1,2009-12-16 17:01:00,4.3,,United Kingdom
